global_index	task_id	suite	suite_index	instruction	goal	stem	fixtures	objects	interaction_summary	mask_areas	card_png
11	LIBERO_OBJECT_01	libero_object	1	Pick the alphabet soup and place it in the basket	(And (In alphabet_soup_1 basket_1_contain_region))	pick_up_the_alphabet_soup_and_place_it_in_the_basket	floor - floor	alphabet_soup_1 - alphabet_soup; basket_1 - basket; salad_dressing_1 - salad_dressing; cream_cheese_1 - cream_cheese; milk_1 - milk; tomato_sauce_1 - tomato_sauce; butter_1 - butter	alphabet_soup_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12811, ""manipulated_object_01"": 1326}"	LIBERO_OBJECT_01.png
12	LIBERO_OBJECT_02	libero_object	2	Pick the cream cheese and place it in the basket	(And (In cream_cheese_1 basket_1_contain_region))	pick_up_the_cream_cheese_and_place_it_in_the_basket	floor - floor	cream_cheese_1 - cream_cheese; basket_1 - basket; alphabet_soup_1 - alphabet_soup; milk_1 - milk; tomato_sauce_1 - tomato_sauce; butter_1 - butter; orange_juice_1 - orange_juice	cream_cheese_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12368, ""manipulated_object_01"": 788}"	LIBERO_OBJECT_02.png
13	LIBERO_OBJECT_03	libero_object	3	Pick the salad dressing and place it in the basket	(And (In salad_dressing_1 basket_1_contain_region))	pick_up_the_salad_dressing_and_place_it_in_the_basket	floor - floor	salad_dressing_1 - salad_dressing; basket_1 - basket; ketchup_1 - ketchup; alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; milk_1 - milk; tomato_sauce_1 - tomato_sauce	salad_dressing_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12279, ""manipulated_object_01"": 1712}"	LIBERO_OBJECT_03.png
14	LIBERO_OBJECT_04	libero_object	4	Pick the bbq sauce and place it in the basket	(And (In bbq_sauce_1 basket_1_contain_region))	pick_up_the_bbq_sauce_and_place_it_in_the_basket	floor - floor	bbq_sauce_1 - bbq_sauce; basket_1 - basket; chocolate_pudding_1 - chocolate_pudding; ketchup_1 - ketchup; salad_dressing_1 - salad_dressing; alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese	bbq_sauce_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12392, ""manipulated_object_01"": 1189}"	LIBERO_OBJECT_04.png
15	LIBERO_OBJECT_05	libero_object	5	Pick the ketchup and place it in the basket	(And (In ketchup_1 basket_1_contain_region))	pick_up_the_ketchup_and_place_it_in_the_basket	floor - floor	ketchup_1 - ketchup; basket_1 - basket; bbq_sauce_1 - bbq_sauce; salad_dressing_1 - salad_dressing; alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; milk_1 - milk	ketchup_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12591, ""manipulated_object_01"": 1484}"	LIBERO_OBJECT_05.png
16	LIBERO_OBJECT_06	libero_object	6	Pick the tomato sauce and place it in the basket	(And (In tomato_sauce_1 basket_1_contain_region))	pick_up_the_tomato_sauce_and_place_it_in_the_basket	floor - floor	tomato_sauce_1 - tomato_sauce; basket_1 - basket; milk_1 - milk; butter_1 - butter; orange_juice_1 - orange_juice; chocolate_pudding_1 - chocolate_pudding; bbq_sauce_1 - bbq_sauce	tomato_sauce_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12509, ""manipulated_object_01"": 2111}"	LIBERO_OBJECT_06.png
17	LIBERO_OBJECT_07	libero_object	7	Pick the butter and place it in the basket	(And (In butter_1 basket_1_contain_region))	pick_up_the_butter_and_place_it_in_the_basket	floor - floor	butter_1 - butter; basket_1 - basket; tomato_sauce_1 - tomato_sauce; orange_juice_1 - orange_juice; chocolate_pudding_1 - chocolate_pudding; bbq_sauce_1 - bbq_sauce; ketchup_1 - ketchup	butter_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12828, ""manipulated_object_01"": 436}"	LIBERO_OBJECT_07.png
18	LIBERO_OBJECT_08	libero_object	8	Pick the milk and place it in the basket	(And (In milk_1 basket_1_contain_region))	pick_up_the_milk_and_place_it_in_the_basket	floor - floor	milk_1 - milk; basket_1 - basket; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; butter_1 - butter; orange_juice_1 - orange_juice; chocolate_pudding_1 - chocolate_pudding	milk_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12839, ""manipulated_object_01"": 1745}"	LIBERO_OBJECT_08.png
19	LIBERO_OBJECT_09	libero_object	9	Pick the chocolate pudding and place it in the basket	(And (In chocolate_pudding_1 basket_1_contain_region))	pick_up_the_chocolate_pudding_and_place_it_in_the_basket	floor - floor	chocolate_pudding_1 - chocolate_pudding; basket_1 - basket; orange_juice_1 - orange_juice; bbq_sauce_1 - bbq_sauce; ketchup_1 - ketchup; salad_dressing_1 - salad_dressing; alphabet_soup_1 - alphabet_soup	chocolate_pudding_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12757, ""manipulated_object_01"": 953}"	LIBERO_OBJECT_09.png
20	LIBERO_OBJECT_10	libero_object	10	Pick the orange juice and place it in the basket	(And (In orange_juice_1 basket_1_contain_region))	pick_up_the_orange_juice_and_place_it_in_the_basket	floor - floor	orange_juice_1 - orange_juice; basket_1 - basket; butter_1 - butter; chocolate_pudding_1 - chocolate_pudding; bbq_sauce_1 - bbq_sauce; ketchup_1 - ketchup; salad_dressing_1 - salad_dressing	orange_juice_1 (green); basket_1 (yellow)	"{""goal_destination_02"": 12375, ""manipulated_object_01"": 2086}"	LIBERO_OBJECT_10.png
21	LIBERO_GOAL_01	libero_goal	1	Open the middle layer of the drawer	(And (Open wooden_cabinet_1_middle_region))	open_the_middle_drawer_of_the_cabinet	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	middle drawer of wooden_cabinet_1 (cyan)	"{""interaction_control_01"": 1763}"	LIBERO_GOAL_01.png
22	LIBERO_GOAL_02	libero_goal	2	Put the bowl on the stove	(And (On akita_black_bowl_1 flat_stove_1_cook_region))	put_the_bowl_on_the_stove	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	akita_black_bowl_1 (green); flat_stove_1 (yellow)	"{""goal_destination_02"": 8194, ""manipulated_object_01"": 3055}"	LIBERO_GOAL_02.png
23	LIBERO_GOAL_03	libero_goal	3	Put the wine bottle on the top of the drawer	(And (On wine_bottle_1 wooden_cabinet_1_top_side))	put_the_wine_bottle_on_top_of_the_cabinet	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	wine_bottle_1 (green); wooden_cabinet_1 (yellow)	"{""goal_destination_02"": 35934, ""manipulated_object_01"": 1271}"	LIBERO_GOAL_03.png
24	LIBERO_GOAL_04	libero_goal	4	Open the top layer of the drawer and put the bowl inside	(And (In akita_black_bowl_1 wooden_cabinet_1_top_region))	open_the_top_drawer_and_put_the_bowl_inside	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	akita_black_bowl_1 (green); top drawer of wooden_cabinet_1 (cyan)	"{""articulated_destination_02"": 2239, ""manipulated_object_01"": 3136}"	LIBERO_GOAL_04.png
25	LIBERO_GOAL_05	libero_goal	5	Put the bowl on the top of the drawer	(And (On akita_black_bowl_1 wooden_cabinet_1_top_side))	put_the_bowl_on_top_of_the_cabinet	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	akita_black_bowl_1 (green); wooden_cabinet_1 (yellow)	"{""goal_destination_02"": 36203, ""manipulated_object_01"": 3015}"	LIBERO_GOAL_05.png
26	LIBERO_GOAL_06	libero_goal	6	Push the plate to the front of the stove	(And (On plate_1 main_table_stove_front_region))	push_the_plate_to_the_front_of_the_stove	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	plate_1 (green); main_table_stove_front_region (yellow)	"{""goal_destination_02"": 1908, ""manipulated_object_01"": 5484}"	LIBERO_GOAL_06.png
27	LIBERO_GOAL_07	libero_goal	7	Put the cream cheese on the bowl	(And (On cream_cheese_1 akita_black_bowl_1))	put_the_cream_cheese_in_the_bowl	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	cream_cheese_1 (green); akita_black_bowl_1 (yellow)	"{""goal_destination_02"": 3078, ""manipulated_object_01"": 1249}"	LIBERO_GOAL_07.png
28	LIBERO_GOAL_08	libero_goal	8	Turn on the stove	(And (Turnon flat_stove_1))	turn_on_the_stove	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	flat_stove_1_button (cyan)	"{""interaction_control_01"": 1216}"	LIBERO_GOAL_08.png
29	LIBERO_GOAL_09	libero_goal	9	Put the bowl on the plate	(And (On akita_black_bowl_1 plate_1))	put_the_bowl_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5647, ""manipulated_object_01"": 3037}"	LIBERO_GOAL_09.png
30	LIBERO_GOAL_10	libero_goal	10	Put the wine bottle on the rack	(And (On wine_bottle_1 wine_rack_1_top_region))	put_the_wine_bottle_on_the_rack	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate	wine_bottle_1 (green); wine_rack_1 (yellow)	"{""goal_destination_02"": 15170, ""manipulated_object_01"": 1337}"	LIBERO_GOAL_10.png
31	LIBERO_10_01	libero_10	1	put both the alphabet soup and the tomato sauce in the basket	(And (In alphabet_soup_1 basket_1_contain_region) (In tomato_sauce_1 basket_1_contain_region))	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket	living_room_table - living_room_table	alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; orange_juice_1 - orange_juice; milk_1 - milk; butter_1 - butter; basket_1 - basket	alphabet_soup_1 (green); basket_1 (yellow); tomato_sauce_1 (green)	"{""goal_destination_02"": 17364, ""manipulated_object_01"": 2242, ""manipulated_object_03"": 3197}"	LIBERO_10_01.png
32	LIBERO_10_02	libero_10	2	put both the cream cheese box and the butter in the basket	(And (In cream_cheese_1 basket_1_contain_region) (In butter_1 basket_1_contain_region))	LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket	living_room_table - living_room_table	alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; orange_juice_1 - orange_juice; milk_1 - milk; butter_1 - butter; basket_1 - basket	cream_cheese_1 (green); basket_1 (yellow); butter_1 (green)	"{""goal_destination_02"": 17862, ""manipulated_object_01"": 2513, ""manipulated_object_03"": 1731}"	LIBERO_10_02.png
33	LIBERO_10_03	libero_10	3	turn on the stove and put the moka pot on it	(And (Turnon flat_stove_1) (On moka_pot_1 flat_stove_1_cook_region))	KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it	kitchen_table - kitchen_table; flat_stove_1 - flat_stove	chefmate_8_frypan_1 - chefmate_8_frypan; moka_pot_1 - moka_pot	flat_stove_1_button (cyan); moka_pot_1 (green); flat_stove_1 (yellow)	"{""goal_destination_03"": 12350, ""interaction_control_01"": 1854, ""manipulated_object_02"": 5659}"	LIBERO_10_03.png
34	LIBERO_10_04	libero_10	4	put the black bowl in the bottom drawer of the cabinet and close it	(And (Close white_cabinet_1_bottom_region) (In akita_black_bowl_1 white_cabinet_1_bottom_region))	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	kitchen_table - kitchen_table; white_cabinet_1 - white_cabinet; wine_rack_1 - wine_rack	akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle	bottom drawer of white_cabinet_1 (cyan); akita_black_bowl_1 (green)	"{""interaction_control_01"": 14374, ""manipulated_object_02"": 4104}"	LIBERO_10_04.png
35	LIBERO_10_05	libero_10	5	put the white mug on the left plate and put the yellow and white mug on the right plate	(And (On porcelain_mug_1 plate_1) (On white_yellow_mug_1 plate_2))	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	living_room_table - living_room_table	porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; white_yellow_mug_1 - white_yellow_mug; plate_1 plate_2 - plate	porcelain_mug_1 (green); plate_1 (yellow); white_yellow_mug_1 (green); plate_2 (yellow)	"{""goal_destination_02"": 2528, ""goal_destination_04"": 3171, ""manipulated_object_01"": 7131, ""manipulated_object_03"": 7675}"	LIBERO_10_05.png
36	LIBERO_10_06	libero_10	6	pick up the book and place it in the back compartment of the caddy	(And (In black_book_1 desk_caddy_1_back_contain_region))	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	study_table - study_table; desk_caddy_1 - desk_caddy	black_book_1 - black_book; white_yellow_mug_1 - white_yellow_mug	black_book_1 (green); desk_caddy_1 (yellow)	"{""goal_destination_02"": 31826, ""manipulated_object_01"": 4762}"	LIBERO_10_06.png
37	LIBERO_10_07	libero_10	7	put the white mug on the plate and put the chocolate pudding to the right of the plate	(And (On porcelain_mug_1 plate_1) (On chocolate_pudding_1 living_room_table_plate_right_region))	LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	living_room_table - living_room_table	porcelain_mug_1 - porcelain_mug; red_coffee_mug_1 - red_coffee_mug; plate_1 - plate; chocolate_pudding_1 - chocolate_pudding	porcelain_mug_1 (green); plate_1 (yellow); chocolate_pudding_1 (green); living_room_table_plate_right_region (yellow)	"{""goal_destination_02"": 10433, ""goal_destination_04"": 7120, ""manipulated_object_01"": 7002, ""manipulated_object_03"": 2175}"	LIBERO_10_07.png
38	LIBERO_10_08	libero_10	8	put both the alphabet soup and the cream cheese box in the basket	(And (In alphabet_soup_1 basket_1_contain_region) (In cream_cheese_1 basket_1_contain_region))	LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket	living_room_table - living_room_table	alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; ketchup_1 - ketchup; basket_1 - basket	alphabet_soup_1 (green); basket_1 (yellow); cream_cheese_1 (green)	"{""goal_destination_02"": 17664, ""manipulated_object_01"": 4205, ""manipulated_object_03"": 1093}"	LIBERO_10_08.png
39	LIBERO_10_09	libero_10	9	put both moka pots on the stove	(And (On moka_pot_1 flat_stove_1_cook_region) (On moka_pot_2 flat_stove_1_cook_region) (Turnon flat_stove_1))	KITCHEN_SCENE8_put_both_moka_pots_on_the_stove	kitchen_table - kitchen_table; flat_stove_1 - flat_stove	moka_pot_1 moka_pot_2 - moka_pot	moka_pot_1 (green); flat_stove_1 (yellow); moka_pot_2 (green); flat_stove_1_button (cyan)	"{""goal_destination_02"": 12353, ""interaction_control_04"": 1923, ""manipulated_object_01"": 5121, ""manipulated_object_03"": 5742}"	LIBERO_10_09.png
40	LIBERO_10_10	libero_10	10	put the yellow and white mug in the microwave and close it	(And (In white_yellow_mug_1 microwave_1_heating_region) (Close microwave_1))	KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it	kitchen_table - kitchen_table; microwave_1 - microwave	porcelain_mug_1 - porcelain_mug; white_yellow_mug_1 - white_yellow_mug	white_yellow_mug_1 (green); microwave_1 (cyan)	"{""interaction_control_02"": 36279, ""manipulated_object_01"": 5538}"	LIBERO_10_10.png
