candidate_index	task_id	source_task_id	source_suite_index	source_instruction	source_target	new_target	instruction	scene_objects	target_initial_region	target_center	position_evidence	successes	episodes	success_rate_percent	success_episode_ids	success_reel	bundle	comparison_png	episode_outcomes
15	OGDTSL_015	LIBERO_OBJECT_07	7	Pick the butter and place it in the basket	butter	ketchup	Pick the ketchup and place it in the basket	butter, tomato sauce, orange juice, chocolate pudding, bbq sauce, ketchup	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_015/	../assets/adapt_object/comparison_png/OGDTSL_015__butter_to_ketchup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
16	OGDTSL_016	LIBERO_OBJECT_09	9	Pick the chocolate pudding and place it in the basket	chocolate pudding	orange juice	Pick the orange juice and place it in the basket	chocolate pudding, orange juice, bbq sauce, ketchup, salad dressing, alphabet soup	floor_other_object_region_0	(+0.050, -0.100)	seen_target_interaction_region	1	5	20.0	1	../assets/adapt_object/success_reels/OGDTSL_016.mp4	../assets/adapt_object/task_bundles/OGDTSL_016/	../assets/adapt_object/comparison_png/OGDTSL_016__chocolate_pudding_to_orange_juice.png	ep0=failure ep1=success ep2=failure ep3=failure ep4=failure
17	OGDTSL_017	LIBERO_OBJECT_09	9	Pick the chocolate pudding and place it in the basket	chocolate pudding	bbq sauce	Pick the bbq sauce and place it in the basket	chocolate pudding, orange juice, bbq sauce, ketchup, salad dressing, alphabet soup	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_017/	../assets/adapt_object/comparison_png/OGDTSL_017__chocolate_pudding_to_bbq_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
18	OGDTSL_018	LIBERO_OBJECT_09	9	Pick the chocolate pudding and place it in the basket	chocolate pudding	ketchup	Pick the ketchup and place it in the basket	chocolate pudding, orange juice, bbq sauce, ketchup, salad dressing, alphabet soup	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_018/	../assets/adapt_object/comparison_png/OGDTSL_018__chocolate_pudding_to_ketchup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
19	OGDTSL_019	LIBERO_OBJECT_09	9	Pick the chocolate pudding and place it in the basket	chocolate pudding	salad dressing	Pick the salad dressing and place it in the basket	chocolate pudding, orange juice, bbq sauce, ketchup, salad dressing, alphabet soup	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_019/	../assets/adapt_object/comparison_png/OGDTSL_019__chocolate_pudding_to_salad_dressing.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
20	OGDTSL_020	LIBERO_OBJECT_09	9	Pick the chocolate pudding and place it in the basket	chocolate pudding	alphabet soup	Pick the alphabet soup and place it in the basket	chocolate pudding, orange juice, bbq sauce, ketchup, salad dressing, alphabet soup	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_020/	../assets/adapt_object/comparison_png/OGDTSL_020__chocolate_pudding_to_alphabet_soup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
21	OGDTSL_021	LIBERO_OBJECT_02	2	Pick the cream cheese and place it in the basket	cream cheese	alphabet soup	Pick the alphabet soup and place it in the basket	cream cheese, alphabet soup, milk, tomato sauce, butter, orange juice	floor_other_object_region_0	(-0.120, -0.240)	seen_target_interaction_region	2	5	40.0	0,2	../assets/adapt_object/success_reels/OGDTSL_021.mp4	../assets/adapt_object/task_bundles/OGDTSL_021/	../assets/adapt_object/comparison_png/OGDTSL_021__cream_cheese_to_alphabet_soup.png	ep0=success ep1=failure ep2=success ep3=failure ep4=failure
22	OGDTSL_022	LIBERO_OBJECT_02	2	Pick the cream cheese and place it in the basket	cream cheese	milk	Pick the milk and place it in the basket	cream cheese, alphabet soup, milk, tomato sauce, butter, orange juice	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_022/	../assets/adapt_object/comparison_png/OGDTSL_022__cream_cheese_to_milk.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
23	OGDTSL_023	LIBERO_OBJECT_02	2	Pick the cream cheese and place it in the basket	cream cheese	tomato sauce	Pick the tomato sauce and place it in the basket	cream cheese, alphabet soup, milk, tomato sauce, butter, orange juice	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_023/	../assets/adapt_object/comparison_png/OGDTSL_023__cream_cheese_to_tomato_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
24	OGDTSL_024	LIBERO_OBJECT_02	2	Pick the cream cheese and place it in the basket	cream cheese	butter	Pick the butter and place it in the basket	cream cheese, alphabet soup, milk, tomato sauce, butter, orange juice	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_024/	../assets/adapt_object/comparison_png/OGDTSL_024__cream_cheese_to_butter.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
25	OGDTSL_025	LIBERO_OBJECT_02	2	Pick the cream cheese and place it in the basket	cream cheese	orange juice	Pick the orange juice and place it in the basket	cream cheese, alphabet soup, milk, tomato sauce, butter, orange juice	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_025/	../assets/adapt_object/comparison_png/OGDTSL_025__cream_cheese_to_orange_juice.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
26	OGDTSL_026	LIBERO_OBJECT_05	5	Pick the ketchup and place it in the basket	ketchup	bbq sauce	Pick the bbq sauce and place it in the basket	ketchup, bbq sauce, salad dressing, alphabet soup, cream cheese, milk	floor_other_object_region_0	(+0.050, -0.100)	seen_target_interaction_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_026/	../assets/adapt_object/comparison_png/OGDTSL_026__ketchup_to_bbq_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
27	OGDTSL_027	LIBERO_OBJECT_05	5	Pick the ketchup and place it in the basket	ketchup	salad dressing	Pick the salad dressing and place it in the basket	ketchup, bbq sauce, salad dressing, alphabet soup, cream cheese, milk	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_027/	../assets/adapt_object/comparison_png/OGDTSL_027__ketchup_to_salad_dressing.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
28	OGDTSL_028	LIBERO_OBJECT_05	5	Pick the ketchup and place it in the basket	ketchup	alphabet soup	Pick the alphabet soup and place it in the basket	ketchup, bbq sauce, salad dressing, alphabet soup, cream cheese, milk	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_028/	../assets/adapt_object/comparison_png/OGDTSL_028__ketchup_to_alphabet_soup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
29	OGDTSL_029	LIBERO_OBJECT_05	5	Pick the ketchup and place it in the basket	ketchup	cream cheese	Pick the cream cheese and place it in the basket	ketchup, bbq sauce, salad dressing, alphabet soup, cream cheese, milk	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_029/	../assets/adapt_object/comparison_png/OGDTSL_029__ketchup_to_cream_cheese.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
30	OGDTSL_030	LIBERO_OBJECT_05	5	Pick the ketchup and place it in the basket	ketchup	milk	Pick the milk and place it in the basket	ketchup, bbq sauce, salad dressing, alphabet soup, cream cheese, milk	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_030/	../assets/adapt_object/comparison_png/OGDTSL_030__ketchup_to_milk.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
31	OGDTSL_031	LIBERO_OBJECT_08	8	Pick the milk and place it in the basket	milk	cream cheese	Pick the cream cheese and place it in the basket	milk, cream cheese, tomato sauce, butter, orange juice, chocolate pudding	floor_other_object_region_0	(+0.050, -0.100)	seen_target_interaction_region	3	5	60.0	1,2,3	../assets/adapt_object/success_reels/OGDTSL_031.mp4	../assets/adapt_object/task_bundles/OGDTSL_031/	../assets/adapt_object/comparison_png/OGDTSL_031__milk_to_cream_cheese.png	ep0=failure ep1=success ep2=success ep3=success ep4=failure
32	OGDTSL_032	LIBERO_OBJECT_08	8	Pick the milk and place it in the basket	milk	tomato sauce	Pick the tomato sauce and place it in the basket	milk, cream cheese, tomato sauce, butter, orange juice, chocolate pudding	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_032/	../assets/adapt_object/comparison_png/OGDTSL_032__milk_to_tomato_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
33	OGDTSL_033	LIBERO_OBJECT_08	8	Pick the milk and place it in the basket	milk	butter	Pick the butter and place it in the basket	milk, cream cheese, tomato sauce, butter, orange juice, chocolate pudding	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_033/	../assets/adapt_object/comparison_png/OGDTSL_033__milk_to_butter.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
34	OGDTSL_034	LIBERO_OBJECT_08	8	Pick the milk and place it in the basket	milk	orange juice	Pick the orange juice and place it in the basket	milk, cream cheese, tomato sauce, butter, orange juice, chocolate pudding	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_034/	../assets/adapt_object/comparison_png/OGDTSL_034__milk_to_orange_juice.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
35	OGDTSL_035	LIBERO_OBJECT_08	8	Pick the milk and place it in the basket	milk	chocolate pudding	Pick the chocolate pudding and place it in the basket	milk, cream cheese, tomato sauce, butter, orange juice, chocolate pudding	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_035/	../assets/adapt_object/comparison_png/OGDTSL_035__milk_to_chocolate_pudding.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
36	OGDTSL_036	LIBERO_OBJECT_10	10	Pick the orange juice and place it in the basket	orange juice	butter	Pick the butter and place it in the basket	orange juice, butter, chocolate pudding, bbq sauce, ketchup, salad dressing	floor_other_object_region_0	(-0.120, -0.240)	seen_target_interaction_region	1	5	20.0	1	../assets/adapt_object/success_reels/OGDTSL_036.mp4	../assets/adapt_object/task_bundles/OGDTSL_036/	../assets/adapt_object/comparison_png/OGDTSL_036__orange_juice_to_butter.png	ep0=failure ep1=success ep2=failure ep3=failure ep4=failure
37	OGDTSL_037	LIBERO_OBJECT_10	10	Pick the orange juice and place it in the basket	orange juice	chocolate pudding	Pick the chocolate pudding and place it in the basket	orange juice, butter, chocolate pudding, bbq sauce, ketchup, salad dressing	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_037/	../assets/adapt_object/comparison_png/OGDTSL_037__orange_juice_to_chocolate_pudding.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
38	OGDTSL_038	LIBERO_OBJECT_10	10	Pick the orange juice and place it in the basket	orange juice	bbq sauce	Pick the bbq sauce and place it in the basket	orange juice, butter, chocolate pudding, bbq sauce, ketchup, salad dressing	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_038/	../assets/adapt_object/comparison_png/OGDTSL_038__orange_juice_to_bbq_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
39	OGDTSL_039	LIBERO_OBJECT_10	10	Pick the orange juice and place it in the basket	orange juice	ketchup	Pick the ketchup and place it in the basket	orange juice, butter, chocolate pudding, bbq sauce, ketchup, salad dressing	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_039/	../assets/adapt_object/comparison_png/OGDTSL_039__orange_juice_to_ketchup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
40	OGDTSL_040	LIBERO_OBJECT_10	10	Pick the orange juice and place it in the basket	orange juice	salad dressing	Pick the salad dressing and place it in the basket	orange juice, butter, chocolate pudding, bbq sauce, ketchup, salad dressing	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_040/	../assets/adapt_object/comparison_png/OGDTSL_040__orange_juice_to_salad_dressing.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
41	OGDTSL_041	LIBERO_OBJECT_03	3	Pick the salad dressing and place it in the basket	salad dressing	ketchup	Pick the ketchup and place it in the basket	salad dressing, ketchup, alphabet soup, cream cheese, milk, tomato sauce	floor_other_object_region_0	(-0.120, -0.240)	seen_target_interaction_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_041/	../assets/adapt_object/comparison_png/OGDTSL_041__salad_dressing_to_ketchup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
42	OGDTSL_042	LIBERO_OBJECT_03	3	Pick the salad dressing and place it in the basket	salad dressing	alphabet soup	Pick the alphabet soup and place it in the basket	salad dressing, ketchup, alphabet soup, cream cheese, milk, tomato sauce	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_042/	../assets/adapt_object/comparison_png/OGDTSL_042__salad_dressing_to_alphabet_soup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
43	OGDTSL_043	LIBERO_OBJECT_03	3	Pick the salad dressing and place it in the basket	salad dressing	cream cheese	Pick the cream cheese and place it in the basket	salad dressing, ketchup, alphabet soup, cream cheese, milk, tomato sauce	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_043/	../assets/adapt_object/comparison_png/OGDTSL_043__salad_dressing_to_cream_cheese.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
44	OGDTSL_044	LIBERO_OBJECT_03	3	Pick the salad dressing and place it in the basket	salad dressing	milk	Pick the milk and place it in the basket	salad dressing, ketchup, alphabet soup, cream cheese, milk, tomato sauce	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_044/	../assets/adapt_object/comparison_png/OGDTSL_044__salad_dressing_to_milk.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
45	OGDTSL_045	LIBERO_OBJECT_03	3	Pick the salad dressing and place it in the basket	salad dressing	tomato sauce	Pick the tomato sauce and place it in the basket	salad dressing, ketchup, alphabet soup, cream cheese, milk, tomato sauce	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_045/	../assets/adapt_object/comparison_png/OGDTSL_045__salad_dressing_to_tomato_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
46	OGDTSL_046	LIBERO_OBJECT_06	6	Pick the tomato sauce and place it in the basket	tomato sauce	milk	Pick the milk and place it in the basket	tomato sauce, milk, butter, orange juice, chocolate pudding, bbq sauce	floor_other_object_region_0	(-0.120, -0.240)	seen_target_interaction_region	2	5	40.0	1,2	../assets/adapt_object/success_reels/OGDTSL_046.mp4	../assets/adapt_object/task_bundles/OGDTSL_046/	../assets/adapt_object/comparison_png/OGDTSL_046__tomato_sauce_to_milk.png	ep0=failure ep1=success ep2=success ep3=failure ep4=failure
47	OGDTSL_047	LIBERO_OBJECT_06	6	Pick the tomato sauce and place it in the basket	tomato sauce	butter	Pick the butter and place it in the basket	tomato sauce, milk, butter, orange juice, chocolate pudding, bbq sauce	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_047/	../assets/adapt_object/comparison_png/OGDTSL_047__tomato_sauce_to_butter.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
48	OGDTSL_048	LIBERO_OBJECT_06	6	Pick the tomato sauce and place it in the basket	tomato sauce	orange juice	Pick the orange juice and place it in the basket	tomato sauce, milk, butter, orange juice, chocolate pudding, bbq sauce	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_048/	../assets/adapt_object/comparison_png/OGDTSL_048__tomato_sauce_to_orange_juice.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
49	OGDTSL_049	LIBERO_OBJECT_06	6	Pick the tomato sauce and place it in the basket	tomato sauce	chocolate pudding	Pick the chocolate pudding and place it in the basket	tomato sauce, milk, butter, orange juice, chocolate pudding, bbq sauce	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_049/	../assets/adapt_object/comparison_png/OGDTSL_049__tomato_sauce_to_chocolate_pudding.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
50	OGDTSL_050	LIBERO_OBJECT_06	6	Pick the tomato sauce and place it in the basket	tomato sauce	bbq sauce	Pick the bbq sauce and place it in the basket	tomato sauce, milk, butter, orange juice, chocolate pudding, bbq sauce	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_050/	../assets/adapt_object/comparison_png/OGDTSL_050__tomato_sauce_to_bbq_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
