task_id	pool	family	semantic_subtasks	pure_composition	requires_transition	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	physical_group	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	canonical_task_signature
COMP2_005	Composition2Step-361	C2_ALL_libero10_basket_pairs	2	true	false	Put the alphabet soup in the basket, and then put the butter in the basket.	libero_object	301;307	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the butter and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	two_step_ca920439e1c91be83da4		2	2	5	40.0	2	composition|ca920439e1c91be83da410695061460677aa83c4a15959e0740b4f07cd427d68|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region)})
COMP2_188	Composition2Step-361	C2_ALL_libero10_special_pairs	2	false	true	Put the moka pot on the stove, and then turn off the stove.	libero_10	101	KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it	turn on the stove and put the moka pot on it	on(moka_pot_1, flat_stove_1_cook_region); turnoff(flat_stove_1)	two_step_d50e374b2da54c36b678		3	1	5	20.0	1	composition|d50e374b2da54c36b678b5b49177f636a4c27656fd9ad46932729a96d2eccb8c|frozenset({on(moka_pot_1,flat_stove_1_cook_region),turnoff(flat_stove_1)})|sequence(on(moka_pot_1,flat_stove_1_cook_region)>on(moka_pot_1,flat_stove_1_cook_region)+turnoff(flat_stove_1))
COMP2_018	Composition2Step-361	C2_ALL_goal_compatible_pairs	2	true	false	Put the black bowl on the plate, and then put the wine bottle on the rack.	libero_goal	1;2	put_the_bowl_on_the_plate;put_the_wine_bottle_on_the_rack	Put the bowl on the plate | Put the wine bottle on the rack	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wine_rack_1_top_region)	two_step_3f474b285ddc2e6e7e37		3	1	5	20.0	1	composition|3f474b285ddc2e6e7e375309ab9cbd20d9a618ab3520cafd769b89fad2c6a2d1|frozenset({on(akita_black_bowl_1,plate_1),on(wine_bottle_1,wine_rack_1_top_region)})
COMP2_023	Composition2Step-361	C2_ALL_goal_compatible_pairs	2	true	false	Put the black bowl on the plate, and then open the middle drawer of the cabinet.	libero_goal	1;10	put_the_bowl_on_the_plate;open_the_middle_drawer_of_the_cabinet	Put the bowl on the plate | Open the middle layer of the drawer	on(akita_black_bowl_1, plate_1); open(wooden_cabinet_1_middle_region)	two_step_3f474b285ddc2e6e7e37		2	1	5	20.0	1	composition|3f474b285ddc2e6e7e375309ab9cbd20d9a618ab3520cafd769b89fad2c6a2d1|frozenset({on(akita_black_bowl_1,plate_1),open(wooden_cabinet_1_middle_region)})
COMP2_027	Composition2Step-361	C2_ALL_goal_compatible_pairs	2	true	false	Put the cream cheese on the black bowl, and then push the plate to the front of the stove.	libero_goal	4;6	put_the_cream_cheese_in_the_bowl;push_the_plate_to_the_front_of_the_stove	Put the cream cheese on the bowl | Push the plate to the front of the stove	on(cream_cheese_1, akita_black_bowl_1); on(plate_1, main_table_stove_front_region)	two_step_3f474b285ddc2e6e7e37		2	1	5	20.0	1	composition|3f474b285ddc2e6e7e375309ab9cbd20d9a618ab3520cafd769b89fad2c6a2d1|frozenset({on(cream_cheese_1,akita_black_bowl_1),on(plate_1,main_table_stove_front_region)})
COMP2_028	Composition2Step-361	C2_ALL_goal_compatible_pairs	2	true	false	Put the cream cheese on the black bowl, and then turn on the stove.	libero_goal	4;7	put_the_cream_cheese_in_the_bowl;turn_on_the_stove	Put the cream cheese on the bowl | Turn on the stove	on(cream_cheese_1, akita_black_bowl_1); turnon(flat_stove_1)	two_step_3f474b285ddc2e6e7e37		3	1	5	20.0	1	composition|3f474b285ddc2e6e7e375309ab9cbd20d9a618ab3520cafd769b89fad2c6a2d1|frozenset({on(cream_cheese_1,akita_black_bowl_1),turnon(flat_stove_1)})
COMP2_011	Composition2Step-361	C2_ALL_object_layout_basket_pairs	2	true	false	Put the bbq sauce in the basket, and then put the chocolate pudding in the basket.	libero_object	304;309	pick_up_the_bbq_sauce_and_place_it_in_the_basket;pick_up_the_chocolate_pudding_and_place_it_in_the_basket	Pick the bbq sauce and place it in the basket | Pick the chocolate pudding and place it in the basket	in(bbq_sauce_1, basket_1_contain_region); in(chocolate_pudding_1, basket_1_contain_region)	two_step_c18a735ec83354055ea5		2	1	5	20.0	1	composition|c18a735ec83354055ea586c6620d26ab9d9462fcb9bfe6545edcd6a656426093|frozenset({in(bbq_sauce_1,basket_1_contain_region),in(chocolate_pudding_1,basket_1_contain_region)})
COMP2_014	Composition2Step-361	C2_ALL_object_layout_basket_pairs	2	true	false	Put the ketchup in the basket, and then put the bbq sauce in the basket.	libero_object	305;304	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_bbq_sauce_and_place_it_in_the_basket	Pick the ketchup and place it in the basket | Pick the bbq sauce and place it in the basket	in(ketchup_1, basket_1_contain_region); in(bbq_sauce_1, basket_1_contain_region)	two_step_974ec90b3aa960a4acd4		3	1	5	20.0	1	composition|974ec90b3aa960a4acd40f0843bdc989e0730bf8eb7f087a75d07e5332b5a9c9|frozenset({in(bbq_sauce_1,basket_1_contain_region),in(ketchup_1,basket_1_contain_region)})
COMP2_222	Composition2Step-361	C2_ALL_object_layout_basket_pairs	2	true	false	Put the alphabet soup in the basket, and then put the tomato sauce in the basket.	libero_object	301;306	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the tomato sauce and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	two_step_6f539a70682318de1f02		3	1	5	20.0	1	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMP2_260	Composition2Step-361	C2_ALL_object_layout_basket_pairs	2	true	false	Put the chocolate pudding in the basket, and then put the orange juice in the basket.	libero_object	309;310	pick_up_the_chocolate_pudding_and_place_it_in_the_basket;pick_up_the_orange_juice_and_place_it_in_the_basket	Pick the chocolate pudding and place it in the basket | Pick the orange juice and place it in the basket	in(chocolate_pudding_1, basket_1_contain_region); in(orange_juice_1, basket_1_contain_region)	two_step_4aa27741501c741922f7		3	1	5	20.0	1	composition|4aa27741501c741922f73456dfa26fdb41a8cbe8d2c2146af28a5687f1bad91e|frozenset({in(chocolate_pudding_1,basket_1_contain_region),in(orange_juice_1,basket_1_contain_region)})
