task_id	suite	suite_index	instruction	problem	fixtures	objects	goal_atoms	physical_goal_signature	physical_scene_signature	asset_composition_signature	source_bddl	source_bddl_sha256
LIBERO_90_11	libero_90	11	put the black bowl on top of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_1"", ""wooden_cabinet_1_top_side""]]"	089552fadd3da29b5e3a21cb518a38ba452fd7deaf2bc1191093f5f86bfc8fae	b12554c039cfe46866410a2ec7731f5fcb5c0f3e42889ce7a3096b7e510e281d	3fea8b4c4b5131a07bda6d10eaed86ecef2fab574ee20e68d01ef1ba974a39f2	libero/bddl_files/libero_90/KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet.bddl	ccfdf462b617303e43c1d194f03cc667be03dd705a92bfc689938c5952f538fa
LIBERO_90_12	libero_90	12	open the top drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""akita_black_bowl_2"": ""akita_black_bowl"", ""akita_black_bowl_3"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""open"", ""wooden_cabinet_1_top_region""]]"	f4c87a4591a630cb4ac9aa219e4e84beb99d3395c58e640b81b7eb5aa6c2e3f1	0ee12a3dc33670b23a0fd130ec985aa62ccaaccffa9118c5c6bdedfde59a0022	8778d98d19ba41477f356a4a64b55b975097766b981f08e9cf01d88f25276f59	libero/bddl_files/libero_90/KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet.bddl	f720fe5676043a9f543a02165f656e97ad2f4f82483a576a938d69b4ae404f26
LIBERO_90_13	libero_90	13	put the black bowl at the back on the plate	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""akita_black_bowl_2"": ""akita_black_bowl"", ""akita_black_bowl_3"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_3"", ""plate_1""]]"	961bed4530f088b4bf11234aab48db2e83e420d6164e1297df368375bb61ec48	0ee12a3dc33670b23a0fd130ec985aa62ccaaccffa9118c5c6bdedfde59a0022	8778d98d19ba41477f356a4a64b55b975097766b981f08e9cf01d88f25276f59	libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate.bddl	2737aa69961170f8da85c221b5cb4a5d07c83df2c9fa6a96abddf04d4897680b
LIBERO_90_14	libero_90	14	put the black bowl at the front on the plate	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""akita_black_bowl_2"": ""akita_black_bowl"", ""akita_black_bowl_3"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_1"", ""plate_1""]]"	ef5fc6d01b838df7a7235abfaea6aa22b4a2ed190a89d9e0754162713afcc16b	0ee12a3dc33670b23a0fd130ec985aa62ccaaccffa9118c5c6bdedfde59a0022	8778d98d19ba41477f356a4a64b55b975097766b981f08e9cf01d88f25276f59	libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate.bddl	6cae8e15ca524c067b2eeae02e95400a5f14ad5152e358d4acaeb355f23d0d54
LIBERO_90_15	libero_90	15	put the black bowl in the middle on the plate	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""akita_black_bowl_2"": ""akita_black_bowl"", ""akita_black_bowl_3"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]"	1fa619747045df27ffc11c6c33e03ca4646c3dc486249491f54bbb57e01a86ec	0ee12a3dc33670b23a0fd130ec985aa62ccaaccffa9118c5c6bdedfde59a0022	8778d98d19ba41477f356a4a64b55b975097766b981f08e9cf01d88f25276f59	libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate.bddl	a8e33d394ddf23f9707937db18d1a42a43e882989ce36e7cbf95d63dc2bc5645
LIBERO_90_16	libero_90	16	put the middle black bowl on top of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""akita_black_bowl_2"": ""akita_black_bowl"", ""akita_black_bowl_3"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_2"", ""wooden_cabinet_1_top_side""]]"	1337b5d80bf681ed2a0d49713d7249151acead8ede5082bea13d1639445388a9	0ee12a3dc33670b23a0fd130ec985aa62ccaaccffa9118c5c6bdedfde59a0022	8778d98d19ba41477f356a4a64b55b975097766b981f08e9cf01d88f25276f59	libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet.bddl	7d42a8806524b08fa90f67e31e3c80a339f0ecba7a7d6cb378612a6b4648705e
LIBERO_90_17	libero_90	17	stack the black bowl at the front on the black bowl in the middle	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""akita_black_bowl_2"": ""akita_black_bowl"", ""akita_black_bowl_3"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_1"", ""akita_black_bowl_2""]]"	468fc274b522333827dfddddbb24a0f152a503d6c430bc74fa70b5d2be30451d	0ee12a3dc33670b23a0fd130ec985aa62ccaaccffa9118c5c6bdedfde59a0022	8778d98d19ba41477f356a4a64b55b975097766b981f08e9cf01d88f25276f59	libero/bddl_files/libero_90/KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle.bddl	381cf12788739624b2037b3cabca34b8efdd7c6397bf38c1af7056caf49d38b7
LIBERO_90_18	libero_90	18	stack the black bowl in the middle on the black bowl at the front	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""akita_black_bowl_2"": ""akita_black_bowl"", ""akita_black_bowl_3"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_2"", ""akita_black_bowl_3""]]"	13fd591bb151656ca4d7147bf7eb255553200cf9e0146aedf5762fa82351051f	0ee12a3dc33670b23a0fd130ec985aa62ccaaccffa9118c5c6bdedfde59a0022	8778d98d19ba41477f356a4a64b55b975097766b981f08e9cf01d88f25276f59	libero/bddl_files/libero_90/KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl.bddl	5ec3417a41a4a98764a111ac11e10bb1bf36d108d04c16bc2c173ad6e9e8dc6d
LIBERO_90_19	libero_90	19	put the frying pan on the stove	libero_kitchen_tabletop_manipulation	"{""flat_stove_1"": ""flat_stove"", ""kitchen_table"": ""kitchen_table""}"	"{""chefmate_8_frypan_1"": ""chefmate_8_frypan"", ""moka_pot_1"": ""moka_pot""}"	"[[""on"", ""chefmate_8_frypan_1"", ""flat_stove_1_cook_region""]]"	bcba31927a03daff5d9f73dc0b64d139be0af0e35f70a984f9f2114634e87676	b676ea7f450e383054b5896e9c0037162fedf7eac988c978c993a5a2aac1a000	778949fa06e250e71a606ba852e2317aef43220c63022a65b7ef01be16226fef	libero/bddl_files/libero_90/KITCHEN_SCENE3_put_the_frying_pan_on_the_stove.bddl	f54f8550e4058af1ed72aa0a0a41a4ae8d8d5cacbf453085130b0a279c7f8d55
LIBERO_90_20	libero_90	20	put the moka pot on the stove	libero_kitchen_tabletop_manipulation	"{""flat_stove_1"": ""flat_stove"", ""kitchen_table"": ""kitchen_table""}"	"{""chefmate_8_frypan_1"": ""chefmate_8_frypan"", ""moka_pot_1"": ""moka_pot""}"	"[[""on"", ""moka_pot_1"", ""flat_stove_1_cook_region""]]"	2e52087fa2613c255544fa08380005c24aca8cf2587db67ac8d117947cd0ab7f	b676ea7f450e383054b5896e9c0037162fedf7eac988c978c993a5a2aac1a000	778949fa06e250e71a606ba852e2317aef43220c63022a65b7ef01be16226fef	libero/bddl_files/libero_90/KITCHEN_SCENE3_put_the_moka_pot_on_the_stove.bddl	d94a21d1fb32f76c08050242581c692486ae12956ae2de3dd96dd4d7d656fcd6
LIBERO_90_21	libero_90	21	turn on the stove	libero_kitchen_tabletop_manipulation	"{""flat_stove_1"": ""flat_stove"", ""kitchen_table"": ""kitchen_table""}"	"{""chefmate_8_frypan_1"": ""chefmate_8_frypan"", ""moka_pot_1"": ""moka_pot""}"	"[[""turnon"", ""flat_stove_1""]]"	530f946ebd613ef48d57875b2811fac7809fc82ac440e13457c02a61fe695ef4	b676ea7f450e383054b5896e9c0037162fedf7eac988c978c993a5a2aac1a000	778949fa06e250e71a606ba852e2317aef43220c63022a65b7ef01be16226fef	libero/bddl_files/libero_90/KITCHEN_SCENE3_turn_on_the_stove.bddl	b081c85eec6ba5ede60bcb773e33cef284bd7befc96d4bbeeff48764d6fe16d6
LIBERO_90_22	libero_90	22	turn on the stove and put the frying pan on it	libero_kitchen_tabletop_manipulation	"{""flat_stove_1"": ""flat_stove"", ""kitchen_table"": ""kitchen_table""}"	"{""chefmate_8_frypan_1"": ""chefmate_8_frypan"", ""moka_pot_1"": ""moka_pot""}"	"[[""turnon"", ""flat_stove_1""], [""on"", ""chefmate_8_frypan_1"", ""flat_stove_1_cook_region""]]"	ed0e25a2533d45ba92813a91a8a351bfb86856b93905f53098fa102d93186433	b676ea7f450e383054b5896e9c0037162fedf7eac988c978c993a5a2aac1a000	778949fa06e250e71a606ba852e2317aef43220c63022a65b7ef01be16226fef	libero/bddl_files/libero_90/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it.bddl	f478f7d636e36ff4f6a689a43e01d9b9310429a7e3c5e7c397cbea766e81c125
LIBERO_90_23	libero_90	23	close the bottom drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet"", ""wine_rack_1"": ""wine_rack""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""wine_bottle_1"": ""wine_bottle""}"	"[[""close"", ""white_cabinet_1_bottom_region""]]"	3c2574884fb2f4cd2ca8f3fa50185f747646ae53f7fb8366ce962c8e0cf92614	f86cc91b9496f7cc93d2b4267f859c47a5969d1bbf021e363074ff42edfb511b	01fa5981d657440c087f9c25d1d951d18eb6c20da4e96f6d50241c28a09a8b60	libero/bddl_files/libero_90/KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet.bddl	625d60f5028da5944f596df6a10b19d4cff3df2d5721650da671612e58f21527
LIBERO_90_24	libero_90	24	close the bottom drawer of the cabinet and open the top drawer	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet"", ""wine_rack_1"": ""wine_rack""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""wine_bottle_1"": ""wine_bottle""}"	"[[""close"", ""white_cabinet_1_bottom_region""], [""open"", ""white_cabinet_1_top_region""]]"	b2271145571a18d7b54f31f71a7ada37c4cf0a896682bf7833bb77e0d3051deb	f86cc91b9496f7cc93d2b4267f859c47a5969d1bbf021e363074ff42edfb511b	01fa5981d657440c087f9c25d1d951d18eb6c20da4e96f6d50241c28a09a8b60	libero/bddl_files/libero_90/KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer.bddl	18b09520ca3a22695c469c6537dc94ef58bbb2326b0d870e22ac7b1daf4f8f49
LIBERO_90_25	libero_90	25	put the black bowl in the bottom drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet"", ""wine_rack_1"": ""wine_rack""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""wine_bottle_1"": ""wine_bottle""}"	"[[""in"", ""akita_black_bowl_1"", ""white_cabinet_1_bottom_region""]]"	8591b39517167d6dd2fd040968cc4299c94412c85aafd85278ec2d028d10fdc3	f86cc91b9496f7cc93d2b4267f859c47a5969d1bbf021e363074ff42edfb511b	01fa5981d657440c087f9c25d1d951d18eb6c20da4e96f6d50241c28a09a8b60	libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet.bddl	ef4d7e68ed3a7c84141fdc881233d1981b0ddfa0ec35e06ff762e4f161599dc0
LIBERO_90_26	libero_90	26	put the black bowl on top of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet"", ""wine_rack_1"": ""wine_rack""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""wine_bottle_1"": ""wine_bottle""}"	"[[""on"", ""akita_black_bowl_1"", ""white_cabinet_1_top_side""]]"	609116eefc25821163617c1457df39fa244adc4a71f550135c34f10ff3068d0e	f86cc91b9496f7cc93d2b4267f859c47a5969d1bbf021e363074ff42edfb511b	01fa5981d657440c087f9c25d1d951d18eb6c20da4e96f6d50241c28a09a8b60	libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet.bddl	d03064c6e26a4ad51a1d3f53b1f068a1cfefc83440c0abbda0bda47b3b657edb
LIBERO_90_27	libero_90	27	put the wine bottle in the bottom drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet"", ""wine_rack_1"": ""wine_rack""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""wine_bottle_1"": ""wine_bottle""}"	"[[""in"", ""wine_bottle_1"", ""white_cabinet_1_bottom_region""]]"	d8f98b0a3125129b1b2eb28dfdfac4595254c909b2f3194528ad7d3bfa0a3ca4	f86cc91b9496f7cc93d2b4267f859c47a5969d1bbf021e363074ff42edfb511b	01fa5981d657440c087f9c25d1d951d18eb6c20da4e96f6d50241c28a09a8b60	libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet.bddl	70fd15c43ee8f9c92e2e832e64a8afd118d9cba43b7817572750b03b6cba06fc
LIBERO_90_28	libero_90	28	put the wine bottle on the wine rack	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet"", ""wine_rack_1"": ""wine_rack""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""wine_bottle_1"": ""wine_bottle""}"	"[[""on"", ""wine_bottle_1"", ""wine_rack_1_top_region""]]"	136241bcf8c60b41fa8e7f55b6e9851d2c200c27743740910a51a213d489d68e	f86cc91b9496f7cc93d2b4267f859c47a5969d1bbf021e363074ff42edfb511b	01fa5981d657440c087f9c25d1d951d18eb6c20da4e96f6d50241c28a09a8b60	libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack.bddl	a5a1a379b1c9511105218c72417b1b4d76ece5119ef08cefcd51facfb2f1b108
LIBERO_90_29	libero_90	29	close the top drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""ketchup_1"": ""ketchup"", ""plate_1"": ""plate""}"	"[[""close"", ""white_cabinet_1_top_region""]]"	d7963c3b15fe272591f15948591c82e3a995cb6492186cdc6d006d00317a92f7	ac7a32d1cc9739dd2140d8592918178a13b7572537aa94ef2225ef040bc763d3	ca9dcc822c8573ab07ea2713569d77e0ceceb27bc2d7c2c57095010ce99e5c96	libero/bddl_files/libero_90/KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet.bddl	8a3a63e58724927992d314ce99b7308c4a80401d4f2bf832bbd6fb1b836b162f
LIBERO_90_30	libero_90	30	put the black bowl in the top drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""ketchup_1"": ""ketchup"", ""plate_1"": ""plate""}"	"[[""in"", ""akita_black_bowl_1"", ""white_cabinet_1_top_region""]]"	b988644bd7a366f536a3933f8ff4a3814fe18afeb2547bc91230c5324e459bde	ac7a32d1cc9739dd2140d8592918178a13b7572537aa94ef2225ef040bc763d3	ca9dcc822c8573ab07ea2713569d77e0ceceb27bc2d7c2c57095010ce99e5c96	libero/bddl_files/libero_90/KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.bddl	df10ccf402c0fdb47f50cf77c295e3014d5283504048c9da5089dd5af08f13ee
LIBERO_90_31	libero_90	31	put the black bowl on the plate	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""white_cabinet_1"": ""white_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""ketchup_1"": ""ketchup"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_1"", ""plate_1""]]"	e01f91b335c40c696adc6691b3b0bb58b8258e221ac60969bfb09aa2bb8b1944	ac7a32d1cc9739dd2140d8592918178a13b7572537aa94ef2225ef040bc763d3	ca9dcc822c8573ab07ea2713569d77e0ceceb27bc2d7c2c57095010ce99e5c96	libero/bddl_files/libero_90/KITCHEN_SCENE5_put_the_black_bowl_on_the_plate.bddl	858a18579b18d23aca74f0c1042841c0ae9117f4952eb42be6260b4e46052b50
