asset_type	original40_visual_status	physical_asset_available	xml_exists	procedural_site_only	unused_original40_visual	unused_original40_goal_primary	used_libero90_visual	used_libero90_goal_primary	scene40_task_ids	goal_primary40_task_ids	scene90_task_ids	goal_primary90_task_ids	asset_xml	collision_aabb_dimensions_xml_frame_m	feasibility_notes	class_source	class_source_line
cream_cheese	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_10_08"", ""LIBERO_GOAL_01"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_03"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_06"", ""LIBERO_GOAL_07"", ""LIBERO_GOAL_08"", ""LIBERO_GOAL_09"", ""LIBERO_GOAL_10"", ""LIBERO_OBJECT_01"", ""LIBERO_OBJECT_02"", ""LIBERO_OBJECT_03"", ""LIBERO_OBJECT_04"", ""LIBERO_OBJECT_05"", ""LIBERO_OBJECT_08""]"	"[""LIBERO_10_02"", ""LIBERO_10_08"", ""LIBERO_GOAL_07"", ""LIBERO_OBJECT_02""]"	"[""LIBERO_90_47"", ""LIBERO_90_48"", ""LIBERO_90_49"", ""LIBERO_90_50"", ""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55"", ""LIBERO_90_56"", ""LIBERO_90_57"", ""LIBERO_90_58"", ""LIBERO_90_59"", ""LIBERO_90_60""]"	"[""LIBERO_90_48"", ""LIBERO_90_58""]"	libero/assets/stable_hope_objects/cream_cheese/cream_cheese.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	79
desk_caddy	present40_without_goal_primary_role	True	True	False	False	True	True	False	"[""LIBERO_10_06""]"	[]	"[""LIBERO_90_74"", ""LIBERO_90_75"", ""LIBERO_90_76"", ""LIBERO_90_77"", ""LIBERO_90_78"", ""LIBERO_90_79"", ""LIBERO_90_80"", ""LIBERO_90_81"", ""LIBERO_90_82"", ""LIBERO_90_83"", ""LIBERO_90_84"", ""LIBERO_90_85"", ""LIBERO_90_86""]"	[]	libero/assets/turbosquid_objects/desk_caddy/desk_caddy.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	174
dining_set_group	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/turbosquid_objects/dining_set_group/dining_set_group.xml	[0.28, 0.16, 0.03424]	Class describes mostly visualization. center_region is below collision minimum; do not use as safe container without predicate validation.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	103
faucet	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/articulated_objects/faucet.xml	[0.092, 0.238, 0.145]	Hinge/handle sites exist but no implemented standard TurnOn/TurnOff. Exclude faucet-control tasks without a new predicate contract.	python_packages/libero/libero/envs/objects/articulated_objects.py	98
flat_stove	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_03"", ""LIBERO_10_09"", ""LIBERO_GOAL_01"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_03"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_06"", ""LIBERO_GOAL_07"", ""LIBERO_GOAL_08"", ""LIBERO_GOAL_09"", ""LIBERO_GOAL_10"", ""LIBERO_SPATIAL_01"", ""LIBERO_SPATIAL_02"", ""LIBERO_SPATIAL_03"", ""LIBERO_SPATIAL_04"", ""LIBERO_SPATIAL_05"", ""LIBERO_SPATIAL_06"", ""LIBERO_SPATIAL_07"", ""LIBERO_SPATIAL_08"", ""LIBERO_SPATIAL_09"", ""LIBERO_SPATIAL_10""]"	"[""LIBERO_10_03"", ""LIBERO_10_09"", ""LIBERO_GOAL_08""]"	"[""LIBERO_90_19"", ""LIBERO_90_20"", ""LIBERO_90_21"", ""LIBERO_90_22"", ""LIBERO_90_39"", ""LIBERO_90_40"", ""LIBERO_90_41"", ""LIBERO_90_42"", ""LIBERO_90_43"", ""LIBERO_90_44"", ""LIBERO_90_45"", ""LIBERO_90_46""]"	"[""LIBERO_90_21"", ""LIBERO_90_22"", ""LIBERO_90_39"", ""LIBERO_90_40"", ""LIBERO_90_45"", ""LIBERO_90_46""]"	libero/assets/articulated_objects/flat_stove.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/articulated_objects.py	219
glazed_rim_porcelain_ramekin	present40_without_goal_primary_role	True	True	False	False	True	False	False	"[""LIBERO_SPATIAL_01"", ""LIBERO_SPATIAL_02"", ""LIBERO_SPATIAL_03"", ""LIBERO_SPATIAL_04"", ""LIBERO_SPATIAL_05"", ""LIBERO_SPATIAL_06"", ""LIBERO_SPATIAL_07"", ""LIBERO_SPATIAL_08"", ""LIBERO_SPATIAL_09"", ""LIBERO_SPATIAL_10""]"	[]	[]	[]	libero/assets/stable_scanned_objects/glazed_rim_porcelain_ramekin/glazed_rim_porcelain_ramekin.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/google_scanned_objects.py	78
ketchup	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_10_08"", ""LIBERO_OBJECT_03"", ""LIBERO_OBJECT_04"", ""LIBERO_OBJECT_05"", ""LIBERO_OBJECT_07"", ""LIBERO_OBJECT_09"", ""LIBERO_OBJECT_10""]"	"[""LIBERO_OBJECT_05""]"	"[""LIBERO_90_29"", ""LIBERO_90_30"", ""LIBERO_90_31"", ""LIBERO_90_32"", ""LIBERO_90_33"", ""LIBERO_90_47"", ""LIBERO_90_48"", ""LIBERO_90_49"", ""LIBERO_90_50"", ""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55"", ""LIBERO_90_56"", ""LIBERO_90_57"", ""LIBERO_90_58"", ""LIBERO_90_59"", ""LIBERO_90_60""]"	"[""LIBERO_90_33"", ""LIBERO_90_49"", ""LIBERO_90_59""]"	libero/assets/stable_hope_objects/ketchup/ketchup.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	87
macaroni_and_cheese	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/stable_hope_objects/macaroni_and_cheese/macaroni_and_cheese.xml	[0.08434, 0.11634, 0.02544]	Class rotates x+90 and z+90; movable sampler ignores BDDL yaw. Upright box; grasp the narrow face. Exclude shallow-shelf insertion; broad top surfaces/tray require contact verification.	python_packages/libero/libero/envs/objects/hope_objects.py	98
mayo	absent_from_original40_scene	False	False	False	True	True	False	False	[]	[]	[]	[]	libero/assets/stable_hope_objects/mayo/mayo.xml		Registered class but runtime XML is missing. Do not build candidates with this asset until the missing local asset is supplied.	python_packages/libero/libero/envs/objects/hope_objects.py	109
microwave	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_10""]"	"[""LIBERO_10_10""]"	"[""LIBERO_90_34"", ""LIBERO_90_35"", ""LIBERO_90_36"", ""LIBERO_90_37"", ""LIBERO_90_38""]"	"[""LIBERO_90_34"", ""LIBERO_90_36""]"	libero/assets/articulated_objects/microwave.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/articulated_objects.py	49
milk	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_OBJECT_01"", ""LIBERO_OBJECT_02"", ""LIBERO_OBJECT_03"", ""LIBERO_OBJECT_05"", ""LIBERO_OBJECT_06"", ""LIBERO_OBJECT_08""]"	"[""LIBERO_OBJECT_08""]"	"[""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55""]"	"[""LIBERO_90_53""]"	libero/assets/stable_hope_objects/milk/milk.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	120
moka_pot	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_03"", ""LIBERO_10_09""]"	"[""LIBERO_10_03"", ""LIBERO_10_09""]"	"[""LIBERO_90_19"", ""LIBERO_90_20"", ""LIBERO_90_21"", ""LIBERO_90_22"", ""LIBERO_90_39"", ""LIBERO_90_40""]"	"[""LIBERO_90_20"", ""LIBERO_90_39""]"	libero/assets/turbosquid_objects/moka_pot/moka_pot.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	127
new_salad_dressing	absent_from_original40_scene	True	True	False	True	True	True	True	[]	[]	"[""LIBERO_90_61"", ""LIBERO_90_62"", ""LIBERO_90_63"", ""LIBERO_90_64"", ""LIBERO_90_65""]"	"[""LIBERO_90_63""]"	libero/assets/stable_hope_objects/new_salad_dressing/new_salad_dressing.xml		Used in LIBERO90 but not40; separate asset from salad_dressing. Require a changed physical scene/goal, not merely a renamed instruction.	python_packages/libero/libero/envs/objects/hope_objects.py	209
orange_juice	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_OBJECT_02"", ""LIBERO_OBJECT_06"", ""LIBERO_OBJECT_07"", ""LIBERO_OBJECT_08"", ""LIBERO_OBJECT_09"", ""LIBERO_OBJECT_10""]"	"[""LIBERO_OBJECT_10""]"	"[""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55""]"	"[""LIBERO_90_54""]"	libero/assets/stable_hope_objects/orange_juice/orange_juice.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	148
plate	present40_with_goal_primary_role	True	True	False	False	False	True	False	"[""LIBERO_10_05"", ""LIBERO_10_07"", ""LIBERO_GOAL_01"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_03"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_06"", ""LIBERO_GOAL_07"", ""LIBERO_GOAL_08"", ""LIBERO_GOAL_09"", ""LIBERO_GOAL_10"", ""LIBERO_SPATIAL_01"", ""LIBERO_SPATIAL_02"", ""LIBERO_SPATIAL_03"", ""LIBERO_SPATIAL_04"", ""LIBERO_SPATIAL_05"", ""LIBERO_SPATIAL_06"", ""LIBERO_SPATIAL_07"", ""LIBERO_SPATIAL_08"", ""LIBERO_SPATIAL_09"", ""LIBERO_SPATIAL_10""]"	"[""LIBERO_GOAL_06""]"	"[""LIBERO_90_07"", ""LIBERO_90_08"", ""LIBERO_90_09"", ""LIBERO_90_10"", ""LIBERO_90_11"", ""LIBERO_90_12"", ""LIBERO_90_13"", ""LIBERO_90_14"", ""LIBERO_90_15"", ""LIBERO_90_16"", ""LIBERO_90_17"", ""LIBERO_90_18"", ""LIBERO_90_29"", ""LIBERO_90_30"", ""LIBERO_90_31"", ""LIBERO_90_32"", ""LIBERO_90_33"", ""LIBERO_90_36"", ""LIBERO_90_37"", ""LIBERO_90_38"", ""LIBERO_90_66"", ""LIBERO_90_67"", ""LIBERO_90_68"", ""LIBERO_90_69"", ""LIBERO_90_70"", ""LIBERO_90_71"", ""LIBERO_90_72"", ""LIBERO_90_73""]"	[]	libero/assets/stable_scanned_objects/plate/plate.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/google_scanned_objects.py	60
popcorn	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/stable_hope_objects/popcorn/popcorn.xml	[0.062, 0.042, 0.02]	Small box; nominal Panda jaw aperture about .08 m. Low profile fits shelf/cabinet sites geometrically; initial support and release still require simulation.	python_packages/libero/libero/envs/objects/hope_objects.py	183
porcelain_mug	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_05"", ""LIBERO_10_07"", ""LIBERO_10_10""]"	"[""LIBERO_10_05"", ""LIBERO_10_07""]"	"[""LIBERO_90_34"", ""LIBERO_90_35"", ""LIBERO_90_66"", ""LIBERO_90_67"", ""LIBERO_90_68"", ""LIBERO_90_69"", ""LIBERO_90_70"", ""LIBERO_90_71"", ""LIBERO_90_72"", ""LIBERO_90_73"", ""LIBERO_90_82"", ""LIBERO_90_83"", ""LIBERO_90_84"", ""LIBERO_90_85"", ""LIBERO_90_86""]"	"[""LIBERO_90_68"", ""LIBERO_90_73"", ""LIBERO_90_86""]"	libero/assets/turbosquid_objects/porcelain_mug/porcelain_mug.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	185
rack	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/stable_scanned_objects/simple_rack/simple_rack.xml	[0.14, 0.27808, 0.12062]	No named functional containment site; top/receptacle goals need a validated region contract. Large footprint relative to pick objects.	python_packages/libero/libero/envs/objects/google_scanned_objects.py	35
red_coffee_mug	present40_without_goal_primary_role	True	True	False	False	True	True	True	"[""LIBERO_10_05"", ""LIBERO_10_07""]"	[]	"[""LIBERO_90_66"", ""LIBERO_90_67"", ""LIBERO_90_68"", ""LIBERO_90_69"", ""LIBERO_90_70"", ""LIBERO_90_71"", ""LIBERO_90_72"", ""LIBERO_90_73"", ""LIBERO_90_78"", ""LIBERO_90_79"", ""LIBERO_90_80"", ""LIBERO_90_81"", ""LIBERO_90_82"", ""LIBERO_90_83"", ""LIBERO_90_84"", ""LIBERO_90_85"", ""LIBERO_90_86""]"	"[""LIBERO_90_66"", ""LIBERO_90_67"", ""LIBERO_90_72"", ""LIBERO_90_85""]"	libero/assets/turbosquid_objects/red_coffee_mug/red_coffee_mug.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	162
salad_dressing	present40_with_goal_primary_role	True	True	False	False	False	False	False	"[""LIBERO_OBJECT_01"", ""LIBERO_OBJECT_03"", ""LIBERO_OBJECT_04"", ""LIBERO_OBJECT_05"", ""LIBERO_OBJECT_09"", ""LIBERO_OBJECT_10""]"	"[""LIBERO_OBJECT_03""]"	[]	[]	libero/assets/stable_hope_objects/salad_dressing/salad_dressing.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	198
short_cabinet	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/articulated_objects/short_cabinet.xml	[0.20247, 0.20102, 0.15438]	Three shallow drawer sites .17642 x .16558 x .04044 m. Three slide joints [-.005,.16]; implemented Open q>.10, Close q<0. Use popcorn, not upright macaroni, for drawer placement.	python_packages/libero/libero/envs/objects/articulated_objects.py	115
short_fridge	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/articulated_objects/short_fridge.xml	[0.20193, 0.23281, 0.26116]	Door hinge nominal [0,2.7] but limited=false; implemented Open q>2, Close q<0. Wide swing corridor required. Lower compartment height .04356 m; upper .0684 m, middle .08022 m.	python_packages/libero/libero/envs/objects/articulated_objects.py	141
slide_cabinet	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/articulated_objects/slide_cabinet.xml	[0.46, 0.3825, 0.2]	Only slide_site point, no containment site. Class inherits unimplemented Open/Close. Large footprint. Excluded from default safe tasks until a predicate/part contract exists.	python_packages/libero/libero/envs/objects/articulated_objects.py	75
target_zone	absent_from_original40_scene	False	False	True	True	True	False	False	[]	[]	[]	[]			Procedural site/predicate marker, not a new physical scene asset. Not counted as installed novel furniture/object.	python_packages/libero/libero/envs/objects/target_zones.py	26
