task_id	family	instruction	semantic_count	components	full_successes	full_episodes	full_sr	failure_episode	goal_atoms	atom_first_steps	atom_final	max_simultaneous	combination_first_steps	subtasks_reached	num_subtasks	partial_kind	derived_two_step_instruction	failure_video	comparison_png	stove_turn_knob_frames
COMP_011	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on top of the cabinet, and finally open the middle drawer of the cabinet.	3	Put the black bowl on the plate | Put the wine bottle on top of the cabinet | Open the middle drawer of the cabinet	0	5	0.0	0	on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wooden_cabinet_1_top_side) | open(wooden_cabinet_1_middle_region)	[80, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 80}"	5	5			../assets/composition/failure_videos/COMP_011/COMP_011_ep000_fail.mp4	../assets/composition/comparison_png/COMP_011__put_the_black_bowl_on_the_plate_then_put_the_wine_bottle_on_top_of_the_cabinet_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_012	C1_goal_three_task_clique	Put the black bowl on the plate, then push the plate to the front of the stove, and finally turn on the stove.	3	Put the black bowl on the plate | Push the plate to the front of the stove | Turn on the stove	0	5	0.0	0	on(akita_black_bowl_1, plate_1) | on(plate_1, main_table_stove_front_region) | turnon(flat_stove_1)	[81, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 81}"	5	5			../assets/composition/failure_videos/COMP_012/COMP_012_ep000_fail.mp4	../assets/composition/comparison_png/COMP_012__put_the_black_bowl_on_the_plate_then_push_the_plate_to_the_front_of_the_stove_and_finally_turn_on_the_stove.png	75
COMP_013	C1_goal_three_task_clique	Put the black bowl on the plate, then push the plate to the front of the stove, and finally open the middle drawer of the cabinet.	3	Put the black bowl on the plate | Push the plate to the front of the stove | Open the middle drawer of the cabinet	0	5	0.0	0	on(akita_black_bowl_1, plate_1) | on(plate_1, main_table_stove_front_region) | open(wooden_cabinet_1_middle_region)	[78, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 78}"	5	5			../assets/composition/failure_videos/COMP_013/COMP_013_ep000_fail.mp4	../assets/composition/comparison_png/COMP_013__put_the_black_bowl_on_the_plate_then_push_the_plate_to_the_front_of_the_stove_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_014	C1_goal_three_task_clique	Put the black bowl on the plate, then turn on the stove, and finally open the middle drawer of the cabinet.	3	Put the black bowl on the plate | Turn on the stove | Open the middle drawer of the cabinet	0	5	0.0	0	on(akita_black_bowl_1, plate_1) | turnon(flat_stove_1) | open(wooden_cabinet_1_middle_region)	[82, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 82}"	4	4			../assets/composition/failure_videos/COMP_014/COMP_014_ep000_fail.mp4	../assets/composition/comparison_png/COMP_014__put_the_black_bowl_on_the_plate_then_turn_on_the_stove_and_finally_open_the_middle_drawer_of_the_cabinet.png	1
COMP_015	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally open the top drawer and put the black bowl inside.	3	Put the cream cheese on the black bowl | Put the wine bottle on the rack | Open the top drawer and put the black bowl inside	0	5	0.0	3	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wine_rack_1_top_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[105, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 105}"	7	7			../assets/composition/failure_videos/COMP_015/COMP_015_ep003_fail.mp4	../assets/composition/comparison_png/COMP_015__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_the_rack_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_016	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally open the top drawer and put the black bowl inside.	3	Put the wine bottle on the rack | Push the plate to the front of the stove | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(wine_bottle_1, wine_rack_1_top_region) | on(plate_1, main_table_stove_front_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[141, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 141}"	4	7			../assets/composition/failure_videos/COMP_016/COMP_016_ep000_fail.mp4	../assets/composition/comparison_png/COMP_016__put_the_wine_bottle_on_the_rack_then_push_the_plate_to_the_front_of_the_stove_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_017	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally open the top drawer and put the black bowl inside.	3	Put the wine bottle on the rack | Turn on the stove | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(wine_bottle_1, wine_rack_1_top_region) | turnon(flat_stove_1) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[143, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 143}"	4	6			../assets/composition/failure_videos/COMP_017/COMP_017_ep000_fail.mp4	../assets/composition/comparison_png/COMP_017__put_the_wine_bottle_on_the_rack_then_turn_on_the_stove_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	15
COMP_018	C1_goal_three_task_clique	Put the wine bottle on the rack, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	3	Put the wine bottle on the rack | Open the middle drawer of the cabinet | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(wine_bottle_1, wine_rack_1_top_region) | open(wooden_cabinet_1_middle_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[137, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 137}"	3	6			../assets/composition/failure_videos/COMP_018/COMP_018_ep000_fail.mp4	../assets/composition/comparison_png/COMP_018__put_the_wine_bottle_on_the_rack_then_open_the_middle_drawer_of_the_cabinet_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_019	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally push the plate to the front of the stove.	3	Put the cream cheese on the black bowl | Put the wine bottle on the rack | Push the plate to the front of the stove	0	5	0.0	1	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wine_rack_1_top_region) | on(plate_1, main_table_stove_front_region)	[103, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 103}"	6	6			../assets/composition/failure_videos/COMP_019/COMP_019_ep001_fail.mp4	../assets/composition/comparison_png/COMP_019__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_the_rack_and_finally_push_the_plate_to_the_front_of_the_stove.png	0
COMP_020	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally turn on the stove.	3	Put the cream cheese on the black bowl | Put the wine bottle on the rack | Turn on the stove	0	5	0.0	1	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wine_rack_1_top_region) | turnon(flat_stove_1)	[105, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 105}"	5	5			../assets/composition/failure_videos/COMP_020/COMP_020_ep001_fail.mp4	../assets/composition/comparison_png/COMP_020__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_the_rack_and_finally_turn_on_the_stove.png	40
COMP_021	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally put the black bowl on the stove.	3	Put the cream cheese on the black bowl | Put the wine bottle on the rack | Put the black bowl on the stove	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wine_rack_1_top_region) | on(akita_black_bowl_1, flat_stove_1_cook_region)	[108, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 108}"	6	6			../assets/composition/failure_videos/COMP_021/COMP_021_ep000_fail.mp4	../assets/composition/comparison_png/COMP_021__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_the_rack_and_finally_put_the_black_bowl_on_the_stove.png	0
COMP_022	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally put the black bowl on top of the cabinet.	3	Put the cream cheese on the black bowl | Put the wine bottle on the rack | Put the black bowl on top of the cabinet	0	5	0.0	3	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wine_rack_1_top_region) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[105, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 105}"	6	6			../assets/composition/failure_videos/COMP_022/COMP_022_ep003_fail.mp4	../assets/composition/comparison_png/COMP_022__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_the_rack_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	0
COMP_023	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally open the middle drawer of the cabinet.	3	Put the cream cheese on the black bowl | Put the wine bottle on the rack | Open the middle drawer of the cabinet	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wine_rack_1_top_region) | open(wooden_cabinet_1_middle_region)	[107, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 107}"	5	5			../assets/composition/failure_videos/COMP_023/COMP_023_ep000_fail.mp4	../assets/composition/comparison_png/COMP_023__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_the_rack_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_024	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally turn on the stove.	3	Put the wine bottle on the rack | Push the plate to the front of the stove | Turn on the stove	0	5	0.0	2	on(wine_bottle_1, wine_rack_1_top_region) | on(plate_1, main_table_stove_front_region) | turnon(flat_stove_1)	[143, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 143}"	5	5			../assets/composition/failure_videos/COMP_024/COMP_024_ep002_fail.mp4	../assets/composition/comparison_png/COMP_024__put_the_wine_bottle_on_the_rack_then_push_the_plate_to_the_front_of_the_stove_and_finally_turn_on_the_stove.png	29
COMP_025	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally put the black bowl on the stove.	3	Put the wine bottle on the rack | Push the plate to the front of the stove | Put the black bowl on the stove	0	5	0.0	4	on(wine_bottle_1, wine_rack_1_top_region) | on(plate_1, main_table_stove_front_region) | on(akita_black_bowl_1, flat_stove_1_cook_region)	[139, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 139}"	5	6			../assets/composition/failure_videos/COMP_025/COMP_025_ep004_fail.mp4	../assets/composition/comparison_png/COMP_025__put_the_wine_bottle_on_the_rack_then_push_the_plate_to_the_front_of_the_stove_and_finally_put_the_black_bowl_on_the_stove.png	0
COMP_026	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally put the black bowl on top of the cabinet.	3	Put the wine bottle on the rack | Push the plate to the front of the stove | Put the black bowl on top of the cabinet	0	5	0.0	0	on(wine_bottle_1, wine_rack_1_top_region) | on(plate_1, main_table_stove_front_region) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[143, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 143}"	5	6			../assets/composition/failure_videos/COMP_026/COMP_026_ep000_fail.mp4	../assets/composition/comparison_png/COMP_026__put_the_wine_bottle_on_the_rack_then_push_the_plate_to_the_front_of_the_stove_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	0
COMP_027	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally open the middle drawer of the cabinet.	3	Put the wine bottle on the rack | Push the plate to the front of the stove | Open the middle drawer of the cabinet	0	5	0.0	1	on(wine_bottle_1, wine_rack_1_top_region) | on(plate_1, main_table_stove_front_region) | open(wooden_cabinet_1_middle_region)	[163, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 163}"	4	5			../assets/composition/failure_videos/COMP_027/COMP_027_ep001_fail.mp4	../assets/composition/comparison_png/COMP_027__put_the_wine_bottle_on_the_rack_then_push_the_plate_to_the_front_of_the_stove_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_028	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally put the black bowl on the stove.	3	Put the wine bottle on the rack | Turn on the stove | Put the black bowl on the stove	0	5	0.0	3	on(wine_bottle_1, wine_rack_1_top_region) | turnon(flat_stove_1) | on(akita_black_bowl_1, flat_stove_1_cook_region)	[143, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 143}"	4	5			../assets/composition/failure_videos/COMP_028/COMP_028_ep003_fail.mp4	../assets/composition/comparison_png/COMP_028__put_the_wine_bottle_on_the_rack_then_turn_on_the_stove_and_finally_put_the_black_bowl_on_the_stove.png	2
COMP_029	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally put the black bowl on top of the cabinet.	3	Put the wine bottle on the rack | Turn on the stove | Put the black bowl on top of the cabinet	0	5	0.0	1	on(wine_bottle_1, wine_rack_1_top_region) | turnon(flat_stove_1) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[151, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 151}"	4	5			../assets/composition/failure_videos/COMP_029/COMP_029_ep001_fail.mp4	../assets/composition/comparison_png/COMP_029__put_the_wine_bottle_on_the_rack_then_turn_on_the_stove_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	31
COMP_030	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally open the middle drawer of the cabinet.	3	Put the wine bottle on the rack | Turn on the stove | Open the middle drawer of the cabinet	0	5	0.0	0	on(wine_bottle_1, wine_rack_1_top_region) | turnon(flat_stove_1) | open(wooden_cabinet_1_middle_region)	[139, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 139}"	3	4			../assets/composition/failure_videos/COMP_030/COMP_030_ep000_fail.mp4	../assets/composition/comparison_png/COMP_030__put_the_wine_bottle_on_the_rack_then_turn_on_the_stove_and_finally_open_the_middle_drawer_of_the_cabinet.png	80
COMP_031	C1_goal_three_task_clique	Put the wine bottle on the rack, then open the middle drawer of the cabinet, and finally put the black bowl on the stove.	3	Put the wine bottle on the rack | Open the middle drawer of the cabinet | Put the black bowl on the stove	0	5	0.0	0	on(wine_bottle_1, wine_rack_1_top_region) | open(wooden_cabinet_1_middle_region) | on(akita_black_bowl_1, flat_stove_1_cook_region)	[126, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 126}"	3	5			../assets/composition/failure_videos/COMP_031/COMP_031_ep000_fail.mp4	../assets/composition/comparison_png/COMP_031__put_the_wine_bottle_on_the_rack_then_open_the_middle_drawer_of_the_cabinet_and_finally_put_the_black_bowl_on_the_stove.png	0
COMP_032	C1_goal_three_task_clique	Put the wine bottle on the rack, then open the middle drawer of the cabinet, and finally put the black bowl on top of the cabinet.	3	Put the wine bottle on the rack | Open the middle drawer of the cabinet | Put the black bowl on top of the cabinet	0	5	0.0	0	on(wine_bottle_1, wine_rack_1_top_region) | open(wooden_cabinet_1_middle_region) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[139, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 139}"	3	5			../assets/composition/failure_videos/COMP_032/COMP_032_ep000_fail.mp4	../assets/composition/comparison_png/COMP_032__put_the_wine_bottle_on_the_rack_then_open_the_middle_drawer_of_the_cabinet_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	0
COMP_033	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on top of the cabinet, and finally open the top drawer and put the black bowl inside.	3	Put the cream cheese on the black bowl | Put the wine bottle on top of the cabinet | Open the top drawer and put the black bowl inside	0	5	0.0	1	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wooden_cabinet_1_top_side) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[104, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 104}"	7	7			../assets/composition/failure_videos/COMP_033/COMP_033_ep001_fail.mp4	../assets/composition/comparison_png/COMP_033__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_top_of_the_cabinet_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_034	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then push the plate to the front of the stove, and finally open the top drawer and put the black bowl inside.	3	Put the cream cheese on the black bowl | Push the plate to the front of the stove | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(plate_1, main_table_stove_front_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[109, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 109}"	5	7			../assets/composition/failure_videos/COMP_034/COMP_034_ep000_fail.mp4	../assets/composition/comparison_png/COMP_034__put_the_cream_cheese_on_the_black_bowl_then_push_the_plate_to_the_front_of_the_stove_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_035	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then turn on the stove, and finally open the top drawer and put the black bowl inside.	3	Put the cream cheese on the black bowl | Turn on the stove | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | turnon(flat_stove_1) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[114, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 114}"	4	6			../assets/composition/failure_videos/COMP_035/COMP_035_ep000_fail.mp4	../assets/composition/comparison_png/COMP_035__put_the_cream_cheese_on_the_black_bowl_then_turn_on_the_stove_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	2
COMP_036	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	3	Put the cream cheese on the black bowl | Open the middle drawer of the cabinet | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | open(wooden_cabinet_1_middle_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[109, 398, null]	[true, true, false]	2	"{""000"": 0, ""100"": 109, ""110"": 398}"	4	6	ordered instruction prefix	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_036/COMP_036_ep000_fail.mp4	../assets/composition/comparison_png/COMP_036__put_the_cream_cheese_on_the_black_bowl_then_open_the_middle_drawer_of_the_cabinet_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_037	C1_goal_three_task_clique	Put the wine bottle on top of the cabinet, then push the plate to the front of the stove, and finally open the top drawer and put the black bowl inside.	3	Put the wine bottle on top of the cabinet | Push the plate to the front of the stove | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(wine_bottle_1, wooden_cabinet_1_top_side) | on(plate_1, main_table_stove_front_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[110, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 110}"	4	7			../assets/composition/failure_videos/COMP_037/COMP_037_ep000_fail.mp4	../assets/composition/comparison_png/COMP_037__put_the_wine_bottle_on_top_of_the_cabinet_then_push_the_plate_to_the_front_of_the_stove_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_038	C1_goal_three_task_clique	Put the wine bottle on top of the cabinet, then turn on the stove, and finally open the top drawer and put the black bowl inside.	3	Put the wine bottle on top of the cabinet | Turn on the stove | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(wine_bottle_1, wooden_cabinet_1_top_side) | turnon(flat_stove_1) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[106, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 106}"	5	6			../assets/composition/failure_videos/COMP_038/COMP_038_ep000_fail.mp4	../assets/composition/comparison_png/COMP_038__put_the_wine_bottle_on_top_of_the_cabinet_then_turn_on_the_stove_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	16
COMP_039	C1_goal_three_task_clique	Put the wine bottle on top of the cabinet, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	3	Put the wine bottle on top of the cabinet | Open the middle drawer of the cabinet | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(wine_bottle_1, wooden_cabinet_1_top_side) | open(wooden_cabinet_1_middle_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[113, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 113}"	3	6			../assets/composition/failure_videos/COMP_039/COMP_039_ep000_fail.mp4	../assets/composition/comparison_png/COMP_039__put_the_wine_bottle_on_top_of_the_cabinet_then_open_the_middle_drawer_of_the_cabinet_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
