task_id	family	instruction	skill_sources	scene_sources	all_sources	transfer_summary
ADAPTX_017	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_03	LIBERO_10_05,LIBERO_SPATIAL_03	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_018	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_03	LIBERO_10_03,LIBERO_SPATIAL_03	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_019	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_04	LIBERO_10_05,LIBERO_SPATIAL_04	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_020	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_04	LIBERO_10_05,LIBERO_SPATIAL_04	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_021	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_04	LIBERO_10_03,LIBERO_SPATIAL_04	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_022	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_05	LIBERO_10_05,LIBERO_SPATIAL_05	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_023	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_05	LIBERO_10_05,LIBERO_SPATIAL_05	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_024	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_05	LIBERO_10_03,LIBERO_SPATIAL_05	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_025	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_06	LIBERO_10_05,LIBERO_SPATIAL_06	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_026	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_06	LIBERO_10_05,LIBERO_SPATIAL_06	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_027	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_06	LIBERO_10_03,LIBERO_SPATIAL_06	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_028	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_07	LIBERO_10_05,LIBERO_SPATIAL_07	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_029	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_07	LIBERO_10_05,LIBERO_SPATIAL_07	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_030	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_07	LIBERO_10_03,LIBERO_SPATIAL_07	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_031	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_08	LIBERO_10_05,LIBERO_SPATIAL_08	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_032	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_08	LIBERO_10_05,LIBERO_SPATIAL_08	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_033	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_09	LIBERO_10_05,LIBERO_SPATIAL_09	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_034	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_09	LIBERO_10_05,LIBERO_SPATIAL_09	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_035	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_09	LIBERO_10_03,LIBERO_SPATIAL_09	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_036	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_10	LIBERO_10_05,LIBERO_SPATIAL_10	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_037	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_10	LIBERO_10_05,LIBERO_SPATIAL_10	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_038	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_10	LIBERO_10_03,LIBERO_SPATIAL_10	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_039	X8_long_to_spatial_close	Close the bottom drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_SPATIAL_01	LIBERO_10_04,LIBERO_SPATIAL_01	The LIBERO-10 drawer-close skill is transferred to another Spatial context.
ADAPTX_040	X8_long_to_spatial_close	Close the bottom drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_SPATIAL_02	LIBERO_10_04,LIBERO_SPATIAL_02	The LIBERO-10 drawer-close skill is transferred to another Spatial context.
ADAPTX_041	X8_long_to_spatial_close	Close the bottom drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_SPATIAL_03	LIBERO_10_04,LIBERO_SPATIAL_03	The LIBERO-10 drawer-close skill is transferred to another Spatial context.
ADAPTX_042	X8_long_to_spatial_close	Close the bottom drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_SPATIAL_06	LIBERO_10_04,LIBERO_SPATIAL_06	The LIBERO-10 drawer-close skill is transferred to another Spatial context.
ADAPTX_043	X8_long_to_spatial_close	Close the bottom drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_SPATIAL_07	LIBERO_10_04,LIBERO_SPATIAL_07	The LIBERO-10 drawer-close skill is transferred to another Spatial context.
ADAPTX_044	X8_long_to_spatial_close	Close the bottom drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_SPATIAL_09	LIBERO_10_04,LIBERO_SPATIAL_09	The LIBERO-10 drawer-close skill is transferred to another Spatial context.
ADAPTX_045	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_01	LIBERO_10_05,LIBERO_OBJECT_01	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_046	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_01	LIBERO_10_05,LIBERO_OBJECT_01	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_047	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_01	LIBERO_10_06,LIBERO_OBJECT_01	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_048	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_02	LIBERO_10_05,LIBERO_OBJECT_02	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_049	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_02	LIBERO_10_05,LIBERO_OBJECT_02	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_050	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_02	LIBERO_10_06,LIBERO_OBJECT_02	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_051	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_03	LIBERO_10_05,LIBERO_OBJECT_03	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_052	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_03	LIBERO_10_05,LIBERO_OBJECT_03	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_053	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_03	LIBERO_10_06,LIBERO_OBJECT_03	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_054	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_04	LIBERO_10_05,LIBERO_OBJECT_04	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_055	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_04	LIBERO_10_05,LIBERO_OBJECT_04	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_056	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_04	LIBERO_10_06,LIBERO_OBJECT_04	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_057	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_05	LIBERO_10_05,LIBERO_OBJECT_05	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_058	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_05	LIBERO_10_05,LIBERO_OBJECT_05	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_059	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_05	LIBERO_10_06,LIBERO_OBJECT_05	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_060	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_06	LIBERO_10_05,LIBERO_OBJECT_06	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_061	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_06	LIBERO_10_05,LIBERO_OBJECT_06	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_062	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_06	LIBERO_10_06,LIBERO_OBJECT_06	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_063	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_07	LIBERO_10_05,LIBERO_OBJECT_07	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_064	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_07	LIBERO_10_05,LIBERO_OBJECT_07	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_065	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_07	LIBERO_10_06,LIBERO_OBJECT_07	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_066	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_08	LIBERO_10_05,LIBERO_OBJECT_08	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_067	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_08	LIBERO_10_05,LIBERO_OBJECT_08	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_068	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_08	LIBERO_10_06,LIBERO_OBJECT_08	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_069	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_09	LIBERO_10_05,LIBERO_OBJECT_09	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_070	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_09	LIBERO_10_05,LIBERO_OBJECT_09	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_071	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_09	LIBERO_10_06,LIBERO_OBJECT_09	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_072	X9_long_to_object_basket	Pick the white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_10	LIBERO_10_05,LIBERO_OBJECT_10	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_073	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	LIBERO_10_05	LIBERO_OBJECT_10	LIBERO_10_05,LIBERO_OBJECT_10	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
ADAPTX_074	X9_long_to_object_basket	Pick the book and place it in the basket.	LIBERO_10_06	LIBERO_OBJECT_10	LIBERO_10_06,LIBERO_OBJECT_10	A LIBERO-10 object is inserted into a distinct LIBERO-Object basket layout.
