task_id	family	instruction	status	reason
ADAPTX_053	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
ADAPTX_054	X9_long_to_object_basket	Pick the white mug and place it in the basket.	PASS	
ADAPTX_055	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	PASS	
ADAPTX_056	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
ADAPTX_057	X9_long_to_object_basket	Pick the white mug and place it in the basket.	PASS	
ADAPTX_058	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	PASS	
ADAPTX_059	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
ADAPTX_060	X9_long_to_object_basket	Pick the white mug and place it in the basket.	PASS	
ADAPTX_061	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	PASS	
ADAPTX_062	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
ADAPTX_063	X9_long_to_object_basket	Pick the white mug and place it in the basket.	PASS	
ADAPTX_064	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	PASS	
ADAPTX_065	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
ADAPTX_066	X9_long_to_object_basket	Pick the white mug and place it in the basket.	PASS	
ADAPTX_067	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	PASS	
ADAPTX_068	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
ADAPTX_069	X9_long_to_object_basket	Pick the white mug and place it in the basket.	PASS	
ADAPTX_070	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	PASS	
ADAPTX_071	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
ADAPTX_072	X9_long_to_object_basket	Pick the white mug and place it in the basket.	PASS	
ADAPTX_073	X9_long_to_object_basket	Pick the yellow and white mug and place it in the basket.	PASS	
ADAPTX_074	X9_long_to_object_basket	Pick the book and place it in the basket.	PASS	
