task_id	family	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	skill_source_ids	skill_source_instructions	scene_source_id	scene_source_instruction	object_source_ids	all_evidence_source_ids	review_status	cross_category_exact_overlaps	instruction_review_status	proposed_task_only_instruction
ADAPT_097	A4_libero10_scene5_front_plate_binding	Put the tomato sauce on the left front plate.	libero_10	306	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(tomato_sauce_1, plate_1)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 306.	2	1	5	20.0	1	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_06	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_06	ELIGIBLE		PASS	Put the tomato sauce on the left front plate.
ADAPT_098	A4_libero10_scene5_front_plate_binding	Put the tomato sauce on the right front plate.	libero_10	306	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(tomato_sauce_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 306.	3	3	5	60.0	3	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_06	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_06	ELIGIBLE		PASS	Put the tomato sauce on the right front plate.
ADAPT_099	A4_libero10_scene5_front_plate_binding	Put the butter on the left front plate.	libero_10	307	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(butter_1, plate_1)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 307.	2	1	5	20.0	1	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_07	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_07	ELIGIBLE		PASS	Put the butter on the left front plate.
ADAPT_100	A4_libero10_scene5_front_plate_binding	Put the butter on the right front plate.	libero_10	307	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(butter_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 307.	3	3	5	60.0	3	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_07	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_07	ELIGIBLE		PASS	Put the butter on the right front plate.
ADAPT_101	A4_libero10_scene5_front_plate_binding	Put the milk on the left front plate.	libero_10	308	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(milk_1, plate_1)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 308.	2	4	5	80.0	4	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_08	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_08	ELIGIBLE		PASS	Put the milk on the left front plate.
ADAPT_102	A4_libero10_scene5_front_plate_binding	Put the milk on the right front plate.	libero_10	308	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(milk_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 308.	3	1	5	20.0	1	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_08	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_08	ELIGIBLE		PASS	Put the milk on the right front plate.
ADAPT_103	A4_libero10_scene5_front_plate_binding	Put the chocolate pudding on the left front plate.	libero_10	309	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(chocolate_pudding_1, plate_1)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 309.	2	3	5	60.0	3	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	ELIGIBLE		PASS	Put the chocolate pudding on the left front plate.
ADAPT_104	A4_libero10_scene5_front_plate_binding	Put the chocolate pudding on the right front plate.	libero_10	309	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(chocolate_pudding_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 309.	3	4	5	80.0	4	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	ELIGIBLE		PASS	Put the chocolate pudding on the right front plate.
ADAPT_108	A4_libero10_scene5_front_plate_binding	Put the white mug on the right front plate.	libero_10	104	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 104.	3	5	5	100.0	5	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	ELIGIBLE		PASS	Put the white mug on the right front plate.
ADAPT_110	A4_libero10_scene5_front_plate_binding	Put the yellow and white mug on the right front plate.	libero_10	104	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(white_yellow_mug_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 104.	3	5	5	100.0	5	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	ELIGIBLE		PASS	Put the yellow and white mug on the right front plate.
ADAPT_112	A4_libero10_scene5_front_plate_binding	Put the red mug on the right front plate.	libero_10	104	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(red_coffee_mug_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 104.	3	4	5	80.0	4	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	MANUAL_REVIEW_TRAINING_EVIDENCE		PASS	Put the red mug on the right front plate.
ADAPT_113	A5_libero10_caddy_object_compartment	Put the alphabet soup in the back compartment of the caddy.	libero_10	301	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(alphabet_soup_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 301. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	2	2	5	40.0	2	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_01	LIBERO_10_06,LIBERO_OBJECT_01	ELIGIBLE		PASS	Put the alphabet soup in the back compartment of the caddy.
ADAPT_117	A5_libero10_caddy_object_compartment	Put the salad dressing in the back compartment of the caddy.	libero_10	303	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(salad_dressing_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 303. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	2	4	5	80.0	4	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_03	LIBERO_10_06,LIBERO_OBJECT_03	ELIGIBLE		PASS	Put the salad dressing in the back compartment of the caddy.
ADAPT_119	A5_libero10_caddy_object_compartment	Put the salad dressing in the left compartment of the caddy.	libero_10	303	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(salad_dressing_1, desk_caddy_1_left_contain_region)	Direct grasp evidence source ID: 303. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	2	2	5	40.0	2	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_03	LIBERO_10_06,LIBERO_OBJECT_03	ELIGIBLE		PASS	Put the salad dressing in the left compartment of the caddy.
ADAPT_121	A5_libero10_caddy_object_compartment	Put the bbq sauce in the back compartment of the caddy.	libero_10	304	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(bbq_sauce_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 304. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	2	5	5	100.0	5	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_04	LIBERO_10_06,LIBERO_OBJECT_04	ELIGIBLE		PASS	Put the bbq sauce in the back compartment of the caddy.
ADAPT_125	A5_libero10_caddy_object_compartment	Put the ketchup in the back compartment of the caddy.	libero_10	305	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(ketchup_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 305. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	2	3	5	60.0	3	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_05	LIBERO_10_06,LIBERO_OBJECT_05	ELIGIBLE		PASS	Put the ketchup in the back compartment of the caddy.
ADAPT_129	A5_libero10_caddy_object_compartment	Put the tomato sauce in the back compartment of the caddy.	libero_10	306	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(tomato_sauce_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 306. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	2	2	5	40.0	2	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_06	LIBERO_10_06,LIBERO_OBJECT_06	ELIGIBLE		PASS	Put the tomato sauce in the back compartment of the caddy.
ADAPT_141	A5_libero10_caddy_object_compartment	Put the orange juice in the back compartment of the caddy.	libero_10	310	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(orange_juice_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 310. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	2	3	5	60.0	3	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_10	LIBERO_10_06,LIBERO_OBJECT_10	ELIGIBLE		PASS	Put the orange juice in the back compartment of the caddy.
ADAPT_148	A5_libero10_caddy_object_compartment	Put the white mug in the back compartment of the caddy.	libero_10	104	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(porcelain_mug_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 104. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	3	3	5	60.0	3	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_05	LIBERO_10_06,LIBERO_10_05	ELIGIBLE		PASS	Put the white mug in the back compartment of the caddy.
ADAPT_150	A5_libero10_caddy_object_compartment	Put the white mug in the left compartment of the caddy.	libero_10	104	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(porcelain_mug_1, desk_caddy_1_left_contain_region)	Direct grasp evidence source ID: 104. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate.	3	1	5	20.0	1	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_05	LIBERO_10_06,LIBERO_10_05	ELIGIBLE		PASS	Put the white mug in the left compartment of the caddy.
ADAPT_152	A5_libero10_caddy_object_compartment	Put the yellow and white mug in the back compartment of the caddy.	libero_10	104	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(white_yellow_mug_1, desk_caddy_1_back_contain_region)	Direct grasp evidence source ID: 104. | The object is known to fit the caddy aperture; milk and cream-cheese packages are excluded by the prior aperture gate. | Previously defined in the 185-task screen as ANLGX_176; rerun here for the unified Adapt screen.	3	1	5	20.0	1	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_05	LIBERO_10_06,LIBERO_10_05	ELIGIBLE		PASS	Put the yellow and white mug in the back compartment of the caddy.
ADAPT_156	A6_libero10_scene6_relative_region	Put the alphabet soup to the right of the plate.	libero_10	301	LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	put the white mug on the plate and put the chocolate pudding to the right of the plate	on(alphabet_soup_1, living_room_table_plate_right_region)	The destination mask is projected from the current BDDL region; it is not a source-image mask.	3	3	5	60.0	3	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_OBJECT_01	LIBERO_10_07,LIBERO_OBJECT_01	ELIGIBLE		PASS	Put the alphabet soup to the right of the plate.
ADAPT_158	A6_libero10_scene6_relative_region	Put the cream cheese to the right of the plate.	libero_10	302	LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	put the white mug on the plate and put the chocolate pudding to the right of the plate	on(cream_cheese_1, living_room_table_plate_right_region)	The destination mask is projected from the current BDDL region; it is not a source-image mask.	3	4	5	80.0	4	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_OBJECT_02	LIBERO_10_07,LIBERO_OBJECT_02	ELIGIBLE		PASS	Put the cream cheese to the right of the plate.
ADAPT_162	A6_libero10_scene6_relative_region	Put the bbq sauce to the right of the plate.	libero_10	304	LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	put the white mug on the plate and put the chocolate pudding to the right of the plate	on(bbq_sauce_1, living_room_table_plate_right_region)	The destination mask is projected from the current BDDL region; it is not a source-image mask.	3	3	5	60.0	3	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_OBJECT_04	LIBERO_10_07,LIBERO_OBJECT_04	ELIGIBLE		PASS	Put the bbq sauce to the right of the plate.
ADAPT_164	A6_libero10_scene6_relative_region	Put the ketchup to the right of the plate.	libero_10	305	LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	put the white mug on the plate and put the chocolate pudding to the right of the plate	on(ketchup_1, living_room_table_plate_right_region)	The destination mask is projected from the current BDDL region; it is not a source-image mask.	3	1	5	20.0	1	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_OBJECT_05	LIBERO_10_07,LIBERO_OBJECT_05	ELIGIBLE		PASS	Put the ketchup to the right of the plate.
ADAPT_166	A6_libero10_scene6_relative_region	Put the tomato sauce to the right of the plate.	libero_10	306	LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	put the white mug on the plate and put the chocolate pudding to the right of the plate	on(tomato_sauce_1, living_room_table_plate_right_region)	The destination mask is projected from the current BDDL region; it is not a source-image mask.	3	2	5	40.0	2	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_OBJECT_06	LIBERO_10_07,LIBERO_OBJECT_06	ELIGIBLE		PASS	Put the tomato sauce to the right of the plate.
ADAPT_168	A6_libero10_scene6_relative_region	Put the butter to the right of the plate.	libero_10	307	LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	put the white mug on the plate and put the chocolate pudding to the right of the plate	on(butter_1, living_room_table_plate_right_region)	The destination mask is projected from the current BDDL region; it is not a source-image mask.	3	5	5	100.0	5	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_OBJECT_07	LIBERO_10_07,LIBERO_OBJECT_07	ELIGIBLE		PASS	Put the butter to the right of the plate.
