task_id	family	instruction	source_suite	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos
COMP_011	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on top of the cabinet, and finally open the middle drawer of the cabinet.	libero_goal	put_the_bowl_on_the_plate;put_the_wine_bottle_on_top_of_the_cabinet;open_the_middle_drawer_of_the_cabinet	Put the bowl on the plate | Put the wine bottle on the top of the drawer | Open the middle layer of the drawer	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wooden_cabinet_1_top_side); open(wooden_cabinet_1_middle_region)	Novel three-task clique (1, 5, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_012	C1_goal_three_task_clique	Put the black bowl on the plate, then push the plate to the front of the stove, and finally turn on the stove.	libero_goal	put_the_bowl_on_the_plate;push_the_plate_to_the_front_of_the_stove;turn_on_the_stove	Put the bowl on the plate | Push the plate to the front of the stove | Turn on the stove	on(akita_black_bowl_1, plate_1); on(plate_1, main_table_stove_front_region); turnon(flat_stove_1)	Novel three-task clique (1, 6, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_013	C1_goal_three_task_clique	Put the black bowl on the plate, then push the plate to the front of the stove, and finally open the middle drawer of the cabinet.	libero_goal	put_the_bowl_on_the_plate;push_the_plate_to_the_front_of_the_stove;open_the_middle_drawer_of_the_cabinet	Put the bowl on the plate | Push the plate to the front of the stove | Open the middle layer of the drawer	on(akita_black_bowl_1, plate_1); on(plate_1, main_table_stove_front_region); open(wooden_cabinet_1_middle_region)	Novel three-task clique (1, 6, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_014	C1_goal_three_task_clique	Put the black bowl on the plate, then turn on the stove, and finally open the middle drawer of the cabinet.	libero_goal	put_the_bowl_on_the_plate;turn_on_the_stove;open_the_middle_drawer_of_the_cabinet	Put the bowl on the plate | Turn on the stove | Open the middle layer of the drawer	on(akita_black_bowl_1, plate_1); turnon(flat_stove_1); open(wooden_cabinet_1_middle_region)	Novel three-task clique (1, 7, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_015	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;open_the_top_drawer_and_put_the_bowl_inside	Put the cream cheese on the bowl | Put the wine bottle on the rack | Open the top layer of the drawer and put the bowl inside	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wine_rack_1_top_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (2, 3, 4); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_016	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_wine_bottle_on_the_rack;push_the_plate_to_the_front_of_the_stove;open_the_top_drawer_and_put_the_bowl_inside	Put the wine bottle on the rack | Push the plate to the front of the stove | Open the top layer of the drawer and put the bowl inside	on(wine_bottle_1, wine_rack_1_top_region); on(plate_1, main_table_stove_front_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (2, 3, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_017	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_wine_bottle_on_the_rack;turn_on_the_stove;open_the_top_drawer_and_put_the_bowl_inside	Put the wine bottle on the rack | Turn on the stove | Open the top layer of the drawer and put the bowl inside	on(wine_bottle_1, wine_rack_1_top_region); turnon(flat_stove_1); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (2, 3, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_018	C1_goal_three_task_clique	Put the wine bottle on the rack, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_wine_bottle_on_the_rack;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside	Put the wine bottle on the rack | Open the middle layer of the drawer | Open the top layer of the drawer and put the bowl inside	on(wine_bottle_1, wine_rack_1_top_region); open(wooden_cabinet_1_middle_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (2, 3, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_019	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally push the plate to the front of the stove.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;push_the_plate_to_the_front_of_the_stove	Put the cream cheese on the bowl | Put the wine bottle on the rack | Push the plate to the front of the stove	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wine_rack_1_top_region); on(plate_1, main_table_stove_front_region)	Novel three-task clique (2, 4, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_020	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally turn on the stove.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;turn_on_the_stove	Put the cream cheese on the bowl | Put the wine bottle on the rack | Turn on the stove	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wine_rack_1_top_region); turnon(flat_stove_1)	Novel three-task clique (2, 4, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_021	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally put the black bowl on the stove.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;put_the_bowl_on_the_stove	Put the cream cheese on the bowl | Put the wine bottle on the rack | Put the bowl on the stove	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wine_rack_1_top_region); on(akita_black_bowl_1, flat_stove_1_cook_region)	Novel three-task clique (2, 4, 8); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_022	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally put the black bowl on top of the cabinet.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;put_the_bowl_on_top_of_the_cabinet	Put the cream cheese on the bowl | Put the wine bottle on the rack | Put the bowl on the top of the drawer	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wine_rack_1_top_region); on(akita_black_bowl_1, wooden_cabinet_1_top_side)	Novel three-task clique (2, 4, 9); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_023	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on the rack, and finally open the middle drawer of the cabinet.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;open_the_middle_drawer_of_the_cabinet	Put the cream cheese on the bowl | Put the wine bottle on the rack | Open the middle layer of the drawer	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wine_rack_1_top_region); open(wooden_cabinet_1_middle_region)	Novel three-task clique (2, 4, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_024	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally turn on the stove.	libero_goal	put_the_wine_bottle_on_the_rack;push_the_plate_to_the_front_of_the_stove;turn_on_the_stove	Put the wine bottle on the rack | Push the plate to the front of the stove | Turn on the stove	on(wine_bottle_1, wine_rack_1_top_region); on(plate_1, main_table_stove_front_region); turnon(flat_stove_1)	Novel three-task clique (2, 6, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_025	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally put the black bowl on the stove.	libero_goal	put_the_wine_bottle_on_the_rack;push_the_plate_to_the_front_of_the_stove;put_the_bowl_on_the_stove	Put the wine bottle on the rack | Push the plate to the front of the stove | Put the bowl on the stove	on(wine_bottle_1, wine_rack_1_top_region); on(plate_1, main_table_stove_front_region); on(akita_black_bowl_1, flat_stove_1_cook_region)	Novel three-task clique (2, 6, 8); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_026	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally put the black bowl on top of the cabinet.	libero_goal	put_the_wine_bottle_on_the_rack;push_the_plate_to_the_front_of_the_stove;put_the_bowl_on_top_of_the_cabinet	Put the wine bottle on the rack | Push the plate to the front of the stove | Put the bowl on the top of the drawer	on(wine_bottle_1, wine_rack_1_top_region); on(plate_1, main_table_stove_front_region); on(akita_black_bowl_1, wooden_cabinet_1_top_side)	Novel three-task clique (2, 6, 9); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_027	C1_goal_three_task_clique	Put the wine bottle on the rack, then push the plate to the front of the stove, and finally open the middle drawer of the cabinet.	libero_goal	put_the_wine_bottle_on_the_rack;push_the_plate_to_the_front_of_the_stove;open_the_middle_drawer_of_the_cabinet	Put the wine bottle on the rack | Push the plate to the front of the stove | Open the middle layer of the drawer	on(wine_bottle_1, wine_rack_1_top_region); on(plate_1, main_table_stove_front_region); open(wooden_cabinet_1_middle_region)	Novel three-task clique (2, 6, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_028	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally put the black bowl on the stove.	libero_goal	put_the_wine_bottle_on_the_rack;turn_on_the_stove;put_the_bowl_on_the_stove	Put the wine bottle on the rack | Turn on the stove | Put the bowl on the stove	on(wine_bottle_1, wine_rack_1_top_region); turnon(flat_stove_1); on(akita_black_bowl_1, flat_stove_1_cook_region)	Novel three-task clique (2, 7, 8); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_029	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally put the black bowl on top of the cabinet.	libero_goal	put_the_wine_bottle_on_the_rack;turn_on_the_stove;put_the_bowl_on_top_of_the_cabinet	Put the wine bottle on the rack | Turn on the stove | Put the bowl on the top of the drawer	on(wine_bottle_1, wine_rack_1_top_region); turnon(flat_stove_1); on(akita_black_bowl_1, wooden_cabinet_1_top_side)	Novel three-task clique (2, 7, 9); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_030	C1_goal_three_task_clique	Put the wine bottle on the rack, then turn on the stove, and finally open the middle drawer of the cabinet.	libero_goal	put_the_wine_bottle_on_the_rack;turn_on_the_stove;open_the_middle_drawer_of_the_cabinet	Put the wine bottle on the rack | Turn on the stove | Open the middle layer of the drawer	on(wine_bottle_1, wine_rack_1_top_region); turnon(flat_stove_1); open(wooden_cabinet_1_middle_region)	Novel three-task clique (2, 7, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_031	C1_goal_three_task_clique	Put the wine bottle on the rack, then open the middle drawer of the cabinet, and finally put the black bowl on the stove.	libero_goal	put_the_wine_bottle_on_the_rack;open_the_middle_drawer_of_the_cabinet;put_the_bowl_on_the_stove	Put the wine bottle on the rack | Open the middle layer of the drawer | Put the bowl on the stove	on(wine_bottle_1, wine_rack_1_top_region); open(wooden_cabinet_1_middle_region); on(akita_black_bowl_1, flat_stove_1_cook_region)	Novel three-task clique (2, 8, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_032	C1_goal_three_task_clique	Put the wine bottle on the rack, then open the middle drawer of the cabinet, and finally put the black bowl on top of the cabinet.	libero_goal	put_the_wine_bottle_on_the_rack;open_the_middle_drawer_of_the_cabinet;put_the_bowl_on_top_of_the_cabinet	Put the wine bottle on the rack | Open the middle layer of the drawer | Put the bowl on the top of the drawer	on(wine_bottle_1, wine_rack_1_top_region); open(wooden_cabinet_1_middle_region); on(akita_black_bowl_1, wooden_cabinet_1_top_side)	Novel three-task clique (2, 9, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_033	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on top of the cabinet, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_top_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside	Put the cream cheese on the bowl | Put the wine bottle on the top of the drawer | Open the top layer of the drawer and put the bowl inside	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wooden_cabinet_1_top_side); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 4, 5); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_034	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then push the plate to the front of the stove, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_cream_cheese_in_the_bowl;push_the_plate_to_the_front_of_the_stove;open_the_top_drawer_and_put_the_bowl_inside	Put the cream cheese on the bowl | Push the plate to the front of the stove | Open the top layer of the drawer and put the bowl inside	on(cream_cheese_1, akita_black_bowl_1); on(plate_1, main_table_stove_front_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 4, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_035	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then turn on the stove, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_cream_cheese_in_the_bowl;turn_on_the_stove;open_the_top_drawer_and_put_the_bowl_inside	Put the cream cheese on the bowl | Turn on the stove | Open the top layer of the drawer and put the bowl inside	on(cream_cheese_1, akita_black_bowl_1); turnon(flat_stove_1); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 4, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_036	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_cream_cheese_in_the_bowl;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside	Put the cream cheese on the bowl | Open the middle layer of the drawer | Open the top layer of the drawer and put the bowl inside	on(cream_cheese_1, akita_black_bowl_1); open(wooden_cabinet_1_middle_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 4, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_037	C1_goal_three_task_clique	Put the wine bottle on top of the cabinet, then push the plate to the front of the stove, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet;push_the_plate_to_the_front_of_the_stove;open_the_top_drawer_and_put_the_bowl_inside	Put the wine bottle on the top of the drawer | Push the plate to the front of the stove | Open the top layer of the drawer and put the bowl inside	on(wine_bottle_1, wooden_cabinet_1_top_side); on(plate_1, main_table_stove_front_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 5, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_038	C1_goal_three_task_clique	Put the wine bottle on top of the cabinet, then turn on the stove, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet;turn_on_the_stove;open_the_top_drawer_and_put_the_bowl_inside	Put the wine bottle on the top of the drawer | Turn on the stove | Open the top layer of the drawer and put the bowl inside	on(wine_bottle_1, wooden_cabinet_1_top_side); turnon(flat_stove_1); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 5, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_039	C1_goal_three_task_clique	Put the wine bottle on top of the cabinet, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside	Put the wine bottle on the top of the drawer | Open the middle layer of the drawer | Open the top layer of the drawer and put the bowl inside	on(wine_bottle_1, wooden_cabinet_1_top_side); open(wooden_cabinet_1_middle_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 5, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_040	C1_goal_three_task_clique	Push the plate to the front of the stove, then turn on the stove, and finally open the top drawer and put the black bowl inside.	libero_goal	push_the_plate_to_the_front_of_the_stove;turn_on_the_stove;open_the_top_drawer_and_put_the_bowl_inside	Push the plate to the front of the stove | Turn on the stove | Open the top layer of the drawer and put the bowl inside	on(plate_1, main_table_stove_front_region); turnon(flat_stove_1); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 6, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_041	C1_goal_three_task_clique	Push the plate to the front of the stove, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	libero_goal	push_the_plate_to_the_front_of_the_stove;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside	Push the plate to the front of the stove | Open the middle layer of the drawer | Open the top layer of the drawer and put the bowl inside	on(plate_1, main_table_stove_front_region); open(wooden_cabinet_1_middle_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 6, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_042	C1_goal_three_task_clique	Turn on the stove, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	libero_goal	turn_on_the_stove;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside	Turn on the stove | Open the middle layer of the drawer | Open the top layer of the drawer and put the bowl inside	turnon(flat_stove_1); open(wooden_cabinet_1_middle_region); in(akita_black_bowl_1, wooden_cabinet_1_top_region)	Novel three-task clique (3, 7, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_043	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on top of the cabinet, and finally push the plate to the front of the stove.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_top_of_the_cabinet;push_the_plate_to_the_front_of_the_stove	Put the cream cheese on the bowl | Put the wine bottle on the top of the drawer | Push the plate to the front of the stove	on(cream_cheese_1, akita_black_bowl_1); on(wine_bottle_1, wooden_cabinet_1_top_side); on(plate_1, main_table_stove_front_region)	Novel three-task clique (4, 5, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
