task_id	episode_idx	success	initial_goal_satisfied
NAF_036	1	True	False
NAF_036	2	True	False
NAF_036	3	True	False
NAF_036	4	True	False
NAF_037	0	False	False
NAF_037	1	False	False
NAF_037	2	False	False
NAF_037	3	False	False
NAF_037	4	False	False
NAF_038	0	False	False
NAF_038	1	False	False
NAF_038	2	False	False
NAF_038	3	False	False
NAF_038	4	False	False
NAF_039	0	False	False
NAF_039	1	True	False
NAF_039	2	False	False
NAF_039	3	True	False
NAF_039	4	False	False
NAF_040	0	False	False
NAF_040	1	False	False
NAF_040	2	False	False
NAF_040	3	False	False
NAF_040	4	False	False
NAF_041	0	False	False
NAF_041	1	False	False
NAF_041	2	False	False
NAF_041	3	False	False
NAF_041	4	False	False
NAF_042	0	True	False
NAF_042	1	True	False
NAF_042	2	True	False
NAF_042	3	True	False
NAF_042	4	True	False
NAF_043	0	False	False
NAF_043	1	False	False
NAF_043	2	False	False
NAF_043	3	False	False
NAF_043	4	False	False
NAF_044	0	False	False
NAF_044	1	False	False
NAF_044	2	False	False
NAF_044	3	True	False
NAF_044	4	False	False
NAF_045	0	False	False
NAF_045	1	False	False
NAF_045	2	False	False
NAF_045	3	False	False
NAF_045	4	False	False
NAF_046	0	False	False
NAF_046	1	False	False
NAF_046	2	False	False
NAF_046	3	False	False
NAF_046	4	False	False
NAF_047	0	False	False
NAF_047	1	False	False
NAF_047	2	False	False
NAF_047	3	False	False
NAF_047	4	False	False
NAF_048	0	False	False
NAF_048	1	False	False
NAF_048	2	False	False
NAF_048	3	False	False
NAF_048	4	False	False
NAF_049	0	False	False
NAF_049	1	False	False
NAF_049	2	False	False
NAF_049	3	False	False
NAF_049	4	False	False
NAF_050	0	False	False
NAF_050	1	False	False
NAF_050	2	False	False
NAF_050	3	False	False
NAF_050	4	False	False
NAF_051	0	False	False
NAF_051	1	False	False
NAF_051	2	False	False
NAF_051	3	False	False
NAF_051	4	False	False
NAF_052	0	False	False
NAF_052	1	False	False
NAF_052	2	False	False
NAF_052	3	False	False
NAF_052	4	False	False
NAF_053	0	False	False
NAF_053	1	False	False
NAF_053	2	False	False
NAF_053	3	False	False
NAF_053	4	False	False
NAF_054	0	True	False
NAF_054	1	False	False
NAF_054	2	False	False
NAF_054	3	False	False
NAF_054	4	False	False
NAF_055	0	False	False
NAF_055	1	False	False
NAF_055	2	False	False
NAF_055	3	False	False
NAF_055	4	False	False
NAF_056	0	True	False
NAF_056	1	False	False
NAF_056	2	True	False
NAF_056	3	False	False
NAF_056	4	False	False
