task_id	family	instruction	skill_sources	scene_sources	all_sources	transfer_summary
NAF_013	F04_short_fridge_roof	Put the plate on top of the short fridge.	LIBERO_GOAL_05,LIBERO_GOAL_06	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_GOAL_06	Transfer plate placement to a real short_fridge at a learned original40 target position.
NAF_014	F04_short_fridge_roof	Put the wine bottle on top of the short fridge.	LIBERO_GOAL_05,LIBERO_GOAL_03	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_GOAL_03	Transfer wine bottle placement to a real short_fridge at a learned original40 target position.
NAF_015	F04_short_fridge_roof	Put the black bowl on top of the short fridge.	LIBERO_GOAL_05	LIBERO_GOAL_05	LIBERO_GOAL_05	Transfer black bowl placement to a real short_fridge at a learned original40 target position.
NAF_016	F04_short_fridge_roof	Put the milk on top of the short fridge.	LIBERO_GOAL_05,LIBERO_OBJECT_08	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_OBJECT_08	Transfer milk placement to a real short_fridge at a learned original40 target position.
NAF_017	F04_short_fridge_roof	Put the popcorn on top of the short fridge.	LIBERO_GOAL_05,LIBERO_OBJECT_09	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_OBJECT_09	Transfer popcorn placement to a real short_fridge at a learned original40 target position.
NAF_018	F04_short_fridge_roof	Put the plate on top of the short fridge.	LIBERO_GOAL_05,LIBERO_GOAL_06	LIBERO_10_10	LIBERO_10_10,LIBERO_GOAL_05,LIBERO_GOAL_06	Transfer plate placement to a real short_fridge at a learned original40 target position.
NAF_019	F04_short_fridge_roof	Put the wine bottle on top of the short fridge.	LIBERO_GOAL_05,LIBERO_GOAL_03	LIBERO_10_10	LIBERO_10_10,LIBERO_GOAL_05,LIBERO_GOAL_03	Transfer wine bottle placement to a real short_fridge at a learned original40 target position.
NAF_020	F04_short_fridge_roof	Put the milk on top of the short fridge.	LIBERO_GOAL_05,LIBERO_OBJECT_08	LIBERO_10_10	LIBERO_10_10,LIBERO_GOAL_05,LIBERO_OBJECT_08	Transfer milk placement to a real short_fridge at a learned original40 target position.
NAF_021	F04_short_fridge_roof	Put the white mug on top of the short fridge.	LIBERO_GOAL_05,LIBERO_10_05	LIBERO_10_10	LIBERO_10_10,LIBERO_GOAL_05,LIBERO_10_05	Transfer white mug placement to a real short_fridge at a learned original40 target position.
NAF_022	F04_short_fridge_roof	Put the yellow and white mug on top of the short fridge.	LIBERO_GOAL_05,LIBERO_10_05	LIBERO_10_10	LIBERO_10_10,LIBERO_GOAL_05,LIBERO_10_05	Transfer yellow and white mug placement to a real short_fridge at a learned original40 target position.
NAF_023	F05_white_cubby_inside	Put the white mug inside the white storage box.	LIBERO_10_10,LIBERO_10_05	LIBERO_10_10	LIBERO_10_10,LIBERO_10_05	Transfer white mug placement to a real white_storage_box at a learned original40 target position.
NAF_024	F05_white_cubby_inside	Put the white mug inside the white storage box.	LIBERO_10_10,LIBERO_10_05	LIBERO_10_10	LIBERO_10_10,LIBERO_10_05	Transfer white mug placement to a real white_storage_box at a learned original40 target position.
NAF_025	F05_white_cubby_inside	Put the popcorn inside the white storage box.	LIBERO_10_10,LIBERO_OBJECT_09	LIBERO_10_10	LIBERO_10_10,LIBERO_OBJECT_09	Transfer popcorn placement to a real white_storage_box at a learned original40 target position.
NAF_026	F05_white_cubby_inside	Put the popcorn inside the white storage box.	LIBERO_10_10,LIBERO_OBJECT_09	LIBERO_10_10	LIBERO_10_10,LIBERO_OBJECT_09	Transfer popcorn placement to a real white_storage_box at a learned original40 target position.
NAF_027	F05_white_cubby_inside	Put the butter inside the white storage box.	LIBERO_10_10,LIBERO_OBJECT_07	LIBERO_10_10	LIBERO_10_10,LIBERO_OBJECT_07	Transfer butter placement to a real white_storage_box at a learned original40 target position.
NAF_028	F05_white_cubby_inside	Put the cream cheese inside the white storage box.	LIBERO_10_10,LIBERO_OBJECT_02	LIBERO_10_10	LIBERO_10_10,LIBERO_OBJECT_02	Transfer cream cheese placement to a real white_storage_box at a learned original40 target position.
NAF_029	F05_white_cubby_inside	Put the chocolate pudding inside the white storage box.	LIBERO_10_10,LIBERO_OBJECT_09	LIBERO_10_10	LIBERO_10_10,LIBERO_OBJECT_09	Transfer chocolate pudding placement to a real white_storage_box at a learned original40 target position.
NAF_030	F05_white_cubby_inside	Put the black bowl inside the white storage box.	LIBERO_10_10,LIBERO_GOAL_05	LIBERO_10_10	LIBERO_10_10,LIBERO_GOAL_05	Transfer black bowl placement to a real white_storage_box at a learned original40 target position.
NAF_031	F06_two_plates_to_tray	Put both plates in the wooden tray.	LIBERO_10_01	LIBERO_10_07	LIBERO_10_07,LIBERO_10_01	Two demonstrated pick-and-place primitives transfer to two distinct plates and one tray, with an unordered final conjunction.
NAF_032	F06_two_plates_to_tray	Put both plates in the wooden tray.	LIBERO_10_01	LIBERO_10_04	LIBERO_10_04,LIBERO_10_01	Two demonstrated pick-and-place primitives transfer to two distinct plates and one tray, with an unordered final conjunction.
NAF_033	F06_two_plates_to_tray	Put both plates in the wooden tray.	LIBERO_10_01	LIBERO_10_06	LIBERO_10_06,LIBERO_10_01	Two demonstrated pick-and-place primitives transfer to two distinct plates and one tray, with an unordered final conjunction.
NAF_034	F06_two_plates_to_tray	Put both plates in the wooden tray.	LIBERO_10_01	LIBERO_GOAL_09	LIBERO_GOAL_09,LIBERO_10_01	Two demonstrated pick-and-place primitives transfer to two distinct plates and one tray, with an unordered final conjunction.
NAF_035	F07_two_layer_shelf_roof	Put the black book on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_10_06	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05	Transfer black book placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_036	F07_two_layer_shelf_roof	Put the yellow book on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_10_06	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05	Transfer yellow book placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_037	F07_two_layer_shelf_roof	Put the plate on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_GOAL_06	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05,LIBERO_GOAL_06	Transfer plate placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_038	F07_two_layer_shelf_roof	Put the wine bottle on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_GOAL_03	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05,LIBERO_GOAL_03	Transfer wine bottle placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_039	F07_two_layer_shelf_roof	Put the black bowl on top of the two-layer wooden shelf.	LIBERO_GOAL_05	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05	Transfer black bowl placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_040	F07_two_layer_shelf_roof	Put the milk on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_OBJECT_08	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_OBJECT_08	Transfer milk placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_041	F07_two_layer_shelf_roof	Put the popcorn on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_OBJECT_09	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_OBJECT_09	Transfer popcorn placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_042	F07_two_layer_shelf_roof	Put the cream cheese on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_OBJECT_02	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_OBJECT_02	Transfer cream cheese placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_043	F07_two_layer_shelf_roof	Put the white mug on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_10_05	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_10_05	Transfer white mug placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_044	F07_two_layer_shelf_roof	Put the yellow and white mug on top of the two-layer wooden shelf.	LIBERO_GOAL_05,LIBERO_10_05	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_10_05	Transfer yellow and white mug placement to a real wooden_two_layer_shelf at a learned original40 target position.
NAF_045	F08_short_cabinet_open_close	Open the top drawer of the short cabinet.	LIBERO_GOAL_01	LIBERO_GOAL_01	LIBERO_GOAL_01	Transfer one open action to the exact top short-cabinet drawer at a learned cabinet pose.
NAF_046	F08_short_cabinet_open_close	Open the middle drawer of the short cabinet.	LIBERO_GOAL_01	LIBERO_GOAL_01	LIBERO_GOAL_01	Transfer one open action to the exact middle short-cabinet drawer at a learned cabinet pose.
NAF_047	F08_short_cabinet_open_close	Open the bottom drawer of the short cabinet.	LIBERO_GOAL_01	LIBERO_GOAL_01	LIBERO_GOAL_01	Transfer one open action to the exact bottom short-cabinet drawer at a learned cabinet pose.
NAF_048	F08_short_cabinet_open_close	Close the top drawer of the short cabinet.	LIBERO_10_04	LIBERO_GOAL_01	LIBERO_GOAL_01,LIBERO_10_04	Transfer one close action to the exact top short-cabinet drawer at a learned cabinet pose.
NAF_049	F08_short_cabinet_open_close	Close the middle drawer of the short cabinet.	LIBERO_10_04	LIBERO_GOAL_01	LIBERO_GOAL_01,LIBERO_10_04	Transfer one close action to the exact middle short-cabinet drawer at a learned cabinet pose.
NAF_050	F08_short_cabinet_open_close	Close the bottom drawer of the short cabinet.	LIBERO_10_04	LIBERO_GOAL_01	LIBERO_GOAL_01,LIBERO_10_04	Transfer one close action to the exact bottom short-cabinet drawer at a learned cabinet pose.
NAF_051	F08_short_cabinet_open_close	Open the top drawer of the short cabinet.	LIBERO_GOAL_01	LIBERO_10_04	LIBERO_10_04,LIBERO_GOAL_01	Transfer one open action to the exact top short-cabinet drawer at a learned cabinet pose.
NAF_052	F08_short_cabinet_open_close	Open the middle drawer of the short cabinet.	LIBERO_GOAL_01	LIBERO_10_04	LIBERO_10_04,LIBERO_GOAL_01	Transfer one open action to the exact middle short-cabinet drawer at a learned cabinet pose.
NAF_053	F08_short_cabinet_open_close	Open the bottom drawer of the short cabinet.	LIBERO_GOAL_01	LIBERO_10_04	LIBERO_10_04,LIBERO_GOAL_01	Transfer one open action to the exact bottom short-cabinet drawer at a learned cabinet pose.
NAF_054	F08_short_cabinet_open_close	Close the top drawer of the short cabinet.	LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Transfer one close action to the exact top short-cabinet drawer at a learned cabinet pose.
NAF_055	F08_short_cabinet_open_close	Close the middle drawer of the short cabinet.	LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Transfer one close action to the exact middle short-cabinet drawer at a learned cabinet pose.
NAF_056	F08_short_cabinet_open_close	Close the bottom drawer of the short cabinet.	LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Transfer one close action to the exact bottom short-cabinet drawer at a learned cabinet pose.
