task_id	adapt_instruction	skill_source_ids	skill_source_instructions	scene_source_id	scene_source_instruction	object_source_ids	all_evidence_source_ids	evidence_roles	flags	cross_category_exact_overlaps	review_status
ADAPT_011	Pick the cream cheese on the right and place it in the basket on the left.	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket		LIBERO_OBJECT_02	LIBERO_OBJECT_02:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_012	Pick the salad dressing on the right and place it in the basket on the left.	LIBERO_OBJECT_03	Pick the salad dressing and place it in the basket	LIBERO_OBJECT_03	Pick the salad dressing and place it in the basket		LIBERO_OBJECT_03	LIBERO_OBJECT_03:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_013	Pick the bbq sauce on the right and place it in the basket on the left.	LIBERO_OBJECT_04	Pick the bbq sauce and place it in the basket	LIBERO_OBJECT_04	Pick the bbq sauce and place it in the basket		LIBERO_OBJECT_04	LIBERO_OBJECT_04:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_014	Pick the ketchup on the right and place it in the basket on the left.	LIBERO_OBJECT_05	Pick the ketchup and place it in the basket	LIBERO_OBJECT_05	Pick the ketchup and place it in the basket		LIBERO_OBJECT_05	LIBERO_OBJECT_05:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_015	Pick the tomato sauce on the right and place it in the basket on the left.	LIBERO_OBJECT_06	Pick the tomato sauce and place it in the basket	LIBERO_OBJECT_06	Pick the tomato sauce and place it in the basket		LIBERO_OBJECT_06	LIBERO_OBJECT_06:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_016	Pick the butter on the right and place it in the basket on the left.	LIBERO_OBJECT_07	Pick the butter and place it in the basket	LIBERO_OBJECT_07	Pick the butter and place it in the basket		LIBERO_OBJECT_07	LIBERO_OBJECT_07:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_017	Pick the milk on the right and place it in the basket on the left.	LIBERO_OBJECT_08	Pick the milk and place it in the basket	LIBERO_OBJECT_08	Pick the milk and place it in the basket		LIBERO_OBJECT_08	LIBERO_OBJECT_08:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_018	Pick the chocolate pudding on the right and place it in the basket on the left.	LIBERO_OBJECT_09	Pick the chocolate pudding and place it in the basket	LIBERO_OBJECT_09	Pick the chocolate pudding and place it in the basket		LIBERO_OBJECT_09	LIBERO_OBJECT_09:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_019	Pick the orange juice on the right and place it in the basket on the left.	LIBERO_OBJECT_10	Pick the orange juice and place it in the basket	LIBERO_OBJECT_10	Pick the orange juice and place it in the basket		LIBERO_OBJECT_10	LIBERO_OBJECT_10:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_020	Turn on the stove while the black bowl starts between the plate and the ramekin.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_01	Pick the akita black bowl between the plate and the ramekin and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_01	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_01:SCENE SOURCE			ELIGIBLE
ADAPT_021	Turn on the stove while the black bowl starts next to the ramekin.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_02	Pick the akita black bowl next to the ramekin and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_02	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_02:SCENE SOURCE			ELIGIBLE
ADAPT_022	Turn on the stove while the black bowl starts at the table center.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_03	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_03:SCENE SOURCE			ELIGIBLE
ADAPT_023	Turn on the stove while the black bowl starts on the cookies box.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_04	Pick the akita black bowl on the cookies box and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_04	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_04:SCENE SOURCE			ELIGIBLE
ADAPT_024	Turn on the stove while the black bowl starts in the top drawer of the wooden cabinet.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_05	Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_05	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_05:SCENE SOURCE			ELIGIBLE
ADAPT_025	Turn on the stove while the black bowl starts on the ramekin.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_06	Pick the akita black bowl on the ramekin and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_06	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_06:SCENE SOURCE			ELIGIBLE
ADAPT_026	Turn on the stove while the black bowl starts next to the cookies box.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_07	Pick the akita black bowl next to the cookies box and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_07	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_07:SCENE SOURCE			ELIGIBLE
ADAPT_027	Turn on the stove while the black bowl starts on the stove.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_08	Pick the akita black bowl on the stove and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_08	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_08:SCENE SOURCE			ELIGIBLE
ADAPT_028	Turn on the stove while the black bowl starts next to the plate.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_09	Pick the akita black bowl next to the plate and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_09	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_09:SCENE SOURCE			ELIGIBLE
ADAPT_029	Turn on the stove while the black bowl starts on top of the wooden cabinet.	LIBERO_GOAL_08	Turn on the stove	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_GOAL_08,LIBERO_SPATIAL_10	LIBERO_GOAL_08:DIRECT SKILL SOURCE || LIBERO_SPATIAL_10:SCENE SOURCE			ELIGIBLE
ADAPT_030	Pick up the black bowl between the plate and the ramekin and put it in the top drawer of the wooden cabinet.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_01	Pick the akita black bowl between the plate and the ramekin and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_01	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_01:SCENE SOURCE			ELIGIBLE
ADAPT_031	Pick up the black bowl between the plate and the ramekin and put it in the middle drawer of the wooden cabinet.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_SPATIAL_01	Pick the akita black bowl between the plate and the ramekin and place it on the plate		LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_SPATIAL_01	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_SPATIAL_01:SCENE SOURCE			ELIGIBLE
ADAPT_032	Pick up the black bowl between the plate and the ramekin and put it in the bottom drawer of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_01	Pick the akita black bowl between the plate and the ramekin and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_01	LIBERO_10_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_01:SCENE SOURCE			ELIGIBLE
ADAPT_033	Pick up the black bowl next to the ramekin and put it in the top drawer of the wooden cabinet.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_02	Pick the akita black bowl next to the ramekin and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_02	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_02:SCENE SOURCE			ELIGIBLE
ADAPT_034	Pick up the black bowl next to the ramekin and put it in the middle drawer of the wooden cabinet.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_SPATIAL_02	Pick the akita black bowl next to the ramekin and place it on the plate		LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_SPATIAL_02	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_SPATIAL_02:SCENE SOURCE			ELIGIBLE
ADAPT_035	Pick up the black bowl next to the ramekin and put it in the bottom drawer of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_02	Pick the akita black bowl next to the ramekin and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_02	LIBERO_10_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_02:SCENE SOURCE			ELIGIBLE
ADAPT_036	Pick up the black bowl at the table center and put it in the top drawer of the wooden cabinet.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_03	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_03:SCENE SOURCE			ELIGIBLE
ADAPT_037	Pick up the black bowl at the table center and put it in the middle drawer of the wooden cabinet.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate		LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_SPATIAL_03	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_SPATIAL_03:SCENE SOURCE			ELIGIBLE
ADAPT_038	Pick up the black bowl at the table center and put it in the bottom drawer of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_03	LIBERO_10_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_03:SCENE SOURCE			ELIGIBLE
ADAPT_039	Pick up the black bowl next to the cookies box and put it in the top drawer of the wooden cabinet.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_07	Pick the akita black bowl next to the cookies box and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_07	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_07:SCENE SOURCE			ELIGIBLE
ADAPT_040	Pick up the black bowl next to the cookies box and put it in the middle drawer of the wooden cabinet.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_SPATIAL_07	Pick the akita black bowl next to the cookies box and place it on the plate		LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_SPATIAL_07	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_SPATIAL_07:SCENE SOURCE			ELIGIBLE
ADAPT_041	Pick up the black bowl next to the cookies box and put it in the bottom drawer of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_07	Pick the akita black bowl next to the cookies box and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_07	LIBERO_10_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_07:SCENE SOURCE			ELIGIBLE
ADAPT_042	Pick up the black bowl next to the plate and put it in the top drawer of the wooden cabinet.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_09	Pick the akita black bowl next to the plate and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_09	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_09:SCENE SOURCE			ELIGIBLE
ADAPT_043	Pick up the black bowl next to the plate and put it in the middle drawer of the wooden cabinet.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_SPATIAL_09	Pick the akita black bowl next to the plate and place it on the plate		LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_SPATIAL_09	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_SPATIAL_09:SCENE SOURCE			ELIGIBLE
ADAPT_044	Pick up the black bowl next to the plate and put it in the bottom drawer of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_09	Pick the akita black bowl next to the plate and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_09	LIBERO_10_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_09:SCENE SOURCE			ELIGIBLE
ADAPT_045	Open the top drawer while the black bowl starts on the cookies box.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_04	Pick the akita black bowl on the cookies box and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_04	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_04:SCENE SOURCE			ELIGIBLE
ADAPT_046	Open the middle drawer while the black bowl starts on the cookies box.	LIBERO_GOAL_01	Open the middle layer of the drawer	LIBERO_SPATIAL_04	Pick the akita black bowl on the cookies box and place it on the plate		LIBERO_GOAL_01,LIBERO_SPATIAL_04	LIBERO_GOAL_01:DIRECT SKILL SOURCE || LIBERO_SPATIAL_04:SCENE SOURCE			ELIGIBLE
ADAPT_047	Open the bottom drawer while the black bowl starts on the cookies box.	LIBERO_GOAL_01,LIBERO_GOAL_04	Open the middle layer of the drawer || Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_04	Pick the akita black bowl on the cookies box and place it on the plate		LIBERO_GOAL_01,LIBERO_GOAL_04,LIBERO_SPATIAL_04	LIBERO_GOAL_01:SIBLING SKILL ANCHOR || LIBERO_GOAL_04:SIBLING SKILL ANCHOR || LIBERO_SPATIAL_04:SCENE SOURCE			ELIGIBLE
ADAPT_048	Close the top drawer while the black bowl starts on the cookies box.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_04	Pick the akita black bowl on the cookies box and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_04	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_04:SCENE SOURCE			ELIGIBLE
ADAPT_049	Close the middle drawer while the black bowl starts on the cookies box.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_04	Pick the akita black bowl on the cookies box and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_04	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_04:SCENE SOURCE			ELIGIBLE
ADAPT_050	Close the bottom drawer while the black bowl starts on the cookies box.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_04	Pick the akita black bowl on the cookies box and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_04	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_04:SCENE SOURCE			ELIGIBLE
ADAPT_051	Open the top drawer while the black bowl starts on the stove.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_08	Pick the akita black bowl on the stove and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_08	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_08:SCENE SOURCE			ELIGIBLE
ADAPT_052	Open the middle drawer while the black bowl starts on the stove.	LIBERO_GOAL_01	Open the middle layer of the drawer	LIBERO_SPATIAL_08	Pick the akita black bowl on the stove and place it on the plate		LIBERO_GOAL_01,LIBERO_SPATIAL_08	LIBERO_GOAL_01:DIRECT SKILL SOURCE || LIBERO_SPATIAL_08:SCENE SOURCE			ELIGIBLE
ADAPT_053	Open the bottom drawer while the black bowl starts on the stove.	LIBERO_GOAL_01,LIBERO_GOAL_04	Open the middle layer of the drawer || Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_08	Pick the akita black bowl on the stove and place it on the plate		LIBERO_GOAL_01,LIBERO_GOAL_04,LIBERO_SPATIAL_08	LIBERO_GOAL_01:SIBLING SKILL ANCHOR || LIBERO_GOAL_04:SIBLING SKILL ANCHOR || LIBERO_SPATIAL_08:SCENE SOURCE			ELIGIBLE
ADAPT_054	Close the top drawer while the black bowl starts on the stove.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_08	Pick the akita black bowl on the stove and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_08	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_08:SCENE SOURCE			ELIGIBLE
ADAPT_055	Close the middle drawer while the black bowl starts on the stove.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_08	Pick the akita black bowl on the stove and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_08	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_08:SCENE SOURCE			ELIGIBLE
ADAPT_056	Close the bottom drawer while the black bowl starts on the stove.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_08	Pick the akita black bowl on the stove and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_08	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_08:SCENE SOURCE			ELIGIBLE
ADAPT_057	Open the top drawer while the black bowl starts on top of the wooden cabinet.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_10	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_SPATIAL_10:SCENE SOURCE			ELIGIBLE
ADAPT_058	Open the middle drawer while the black bowl starts on top of the wooden cabinet.	LIBERO_GOAL_01	Open the middle layer of the drawer	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_GOAL_01,LIBERO_SPATIAL_10	LIBERO_GOAL_01:DIRECT SKILL SOURCE || LIBERO_SPATIAL_10:SCENE SOURCE			ELIGIBLE
ADAPT_059	Open the bottom drawer while the black bowl starts on top of the wooden cabinet.	LIBERO_GOAL_01,LIBERO_GOAL_04	Open the middle layer of the drawer || Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_GOAL_01,LIBERO_GOAL_04,LIBERO_SPATIAL_10	LIBERO_GOAL_01:SIBLING SKILL ANCHOR || LIBERO_GOAL_04:SIBLING SKILL ANCHOR || LIBERO_SPATIAL_10:SCENE SOURCE			ELIGIBLE
ADAPT_060	Close the top drawer while the black bowl starts on top of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_10	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_10:SCENE SOURCE			ELIGIBLE
ADAPT_061	Close the middle drawer while the black bowl starts on top of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_10	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_10:SCENE SOURCE			ELIGIBLE
ADAPT_062	Close the bottom drawer while the black bowl starts on top of the wooden cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_10_04,LIBERO_SPATIAL_10	LIBERO_10_04:CLOSE SKILL SOURCE || LIBERO_SPATIAL_10:SCENE SOURCE			ELIGIBLE
ADAPT_063	Put the black bowl on the wine rack in the LIBERO-10 Scene 4 layout.	LIBERO_GOAL_10	Put the wine bottle on the rack	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_10,LIBERO_10_04	LIBERO_GOAL_10:DESTINATION SKILL SOURCE || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_064	Put the black bowl on the top of the white cabinet in the LIBERO-10 Scene 4 layout.	LIBERO_GOAL_05	Put the bowl on the top of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_05,LIBERO_10_04	LIBERO_GOAL_05:DESTINATION SKILL SOURCE || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_065	Put the wine bottle on the wine rack in the LIBERO-10 Scene 4 layout.	LIBERO_GOAL_10	Put the wine bottle on the rack	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_10,LIBERO_10_04	LIBERO_GOAL_10:DESTINATION SKILL SOURCE || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_066	Put the wine bottle on the top of the white cabinet in the LIBERO-10 Scene 4 layout.	LIBERO_GOAL_03	Put the wine bottle on the top of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_03,LIBERO_10_04	LIBERO_GOAL_03:DIRECT SKILL SOURCE || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_067	Put the black bowl in the top drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_04,LIBERO_10_04	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_068	Put the black bowl in the middle drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_10_04	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_10_04:SCENE SOURCE		Older LiberoExReFinal60 exact BDDL: ula3_041__put_the_black_bowl_in_the_middle_drawer_of_the_cabinet	ELIGIBLE
ADAPT_069	Put the wine bottle in the top drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_GOAL_03	LIBERO_GOAL_04,LIBERO_10_04,LIBERO_GOAL_03	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_10_04:SCENE SOURCE || LIBERO_GOAL_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_070	Put the wine bottle in the middle drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_GOAL_03	LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_10_04,LIBERO_GOAL_03	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_10_04:SCENE SOURCE || LIBERO_GOAL_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
