task_id	family	instruction	source_suite	source_task	original_instruction	goal_atom	evidence_notes	evaluation_origin	successes	episodes	success_rate_percent	success_videos
ANLGX_008	E1_clean_exact_instance_three_targets	Put the black bowl on the middle plate.	libero_goal	put_the_bowl_on_the_plate	Put the bowl on the plate	on(akita_black_bowl_1, plate_3)	The wooden cabinet is removed because the added left plate overlaps its source pose.		5	5	100.0	5
ANLGX_017	E2_sibling_part_or_compartment	Put the black bowl in the middle drawer of the white cabinet.	libero_10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(akita_black_bowl_1, white_cabinet_1_middle_region)			5	5	100.0	5
ANLGX_019	E2_sibling_part_or_compartment	Put the black bowl in the bottom drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(akita_black_bowl_1, wooden_cabinet_1_bottom_region)			2	5	40.0	2
ANLGX_020	E2_sibling_part_or_compartment	Open the top drawer of the wooden cabinet.	libero_goal	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	open(wooden_cabinet_1_top_region)			3	5	60.0	3
ANLGX_022	E2_sibling_part_or_compartment	Close the top drawer of the white cabinet.	libero_10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_top_region)			4	5	80.0	4
ANLGX_023	E2_sibling_part_or_compartment	Close the middle drawer of the white cabinet.	libero_10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_middle_region)			4	5	80.0	4
ANLGX_025	E2_sibling_part_or_compartment	Pick up the black bowl in the bottom drawer of the wooden cabinet and place it on the plate.	libero_spatial	pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate	Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate	on(akita_black_bowl_1, plate_1)	Init gate: after settling, the bowl must still satisfy In(bowl, instructed drawer); drawer-contained rotation is allowed.		1	5	20.0	1
ANLGX_033	E3_reference_fixture_pose_transfer	Put the black bowl on the stove at the LIBERO-10 Scene 3 donor position.	libero_goal	put_the_bowl_on_the_stove	Put the bowl on the stove	on(akita_black_bowl_1, flat_stove_1_cook_region)			2	5	40.0	2
ANLGX_036	E3_reference_fixture_pose_transfer	Pick up the black bowl on the stove at the LIBERO-10 Scene 3 donor position and place it on the plate.	libero_spatial	pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate	Pick the akita black bowl on the stove and place it on the plate	on(akita_black_bowl_1, plate_1)			5	5	100.0	5
ANLGX_047	E4_clean_receptacle_or_support_transfer	Put the cream cheese in the basket at the former ketchup position.	libero_10	LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket	put both the alphabet soup and the cream cheese box in the basket	in(cream_cheese_1, basket_1_contain_region)	The source ketchup is removed because the relocated basket occupies its exact init region.		1	5	20.0	1
ANLGX_050	E4_clean_receptacle_or_support_transfer	Put the wine bottle on the rack at the LIBERO-10 rack position.	libero_goal	put_the_wine_bottle_on_the_rack	Put the wine bottle on the rack	on(wine_bottle_1, wine_rack_1_top_region)	The wooden cabinet is removed because the relocated rack overlaps its source footprint.		1	5	20.0	1
ANLGX_052	E4_clean_receptacle_or_support_transfer	Put the wine bottle on top of the wooden cabinet at the white-cabinet donor position.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet	Put the wine bottle on the top of the drawer	on(wine_bottle_1, wooden_cabinet_1_top_side)			1	5	20.0	1
ANLGX_063	S1_spatial_source_to_learned_destination	Pick up the black bowl on the ramekin and place it on the top of the wooden cabinet.	libero_spatial	pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate	Pick the akita black bowl on the ramekin and place it on the plate	on(akita_black_bowl_1, wooden_cabinet_1_top_side)			1	5	20.0	1
ANLGX_079	S4_spatial_source_object_binding	Pick up the cookies box between the plate and the ramekin and place it on the plate.	libero_spatial	pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate	Pick the akita black bowl between the plate and the ramekin and place it on the plate	on(cookies_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it.		1	5	20.0	1
ANLGX_080	S4_spatial_source_object_binding	Pick up the wine bottle between the plate and the ramekin and place it on the plate.	libero_spatial	pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate	Pick the akita black bowl between the plate and the ramekin and place it on the plate	on(wine_bottle_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct wine-bottle grasp in original LIBERO-Goal tasks.		2	5	40.0	2
ANLGX_081	S4_spatial_source_object_binding	Pick up the butter between the plate and the ramekin and place it on the plate.	libero_spatial	pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate	Pick the akita black bowl between the plate and the ramekin and place it on the plate	on(butter_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 307.		3	5	60.0	3
ANLGX_082	S4_spatial_source_object_binding	Pick up the chocolate pudding between the plate and the ramekin and place it on the plate.	libero_spatial	pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate	Pick the akita black bowl between the plate and the ramekin and place it on the plate	on(chocolate_pudding_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 309.		3	5	60.0	3
ANLGX_086	S4_spatial_source_object_binding	Pick up the chocolate pudding next to the ramekin and place it on the plate.	libero_spatial	pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate	Pick the akita black bowl next to the ramekin and place it on the plate	on(chocolate_pudding_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 309.		1	5	20.0	1
ANLGX_088	S4_spatial_source_object_binding	Pick up the ramekin at the table center and place it on the plate.	libero_spatial	pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate	Pick the akita black bowl from table center and place it on the plate	on(glazed_rim_porcelain_ramekin_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it.		5	5	100.0	5
ANLGX_089	S4_spatial_source_object_binding	Pick up the wine bottle at the table center and place it on the plate.	libero_spatial	pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate	Pick the akita black bowl from table center and place it on the plate	on(wine_bottle_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct wine-bottle grasp in original LIBERO-Goal tasks.		3	5	60.0	3
ANLGX_090	S4_spatial_source_object_binding	Pick up the butter at the table center and place it on the plate.	libero_spatial	pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate	Pick the akita black bowl from table center and place it on the plate	on(butter_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 307.		1	5	20.0	1
ANLGX_091	S4_spatial_source_object_binding	Pick up the chocolate pudding at the table center and place it on the plate.	libero_spatial	pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate	Pick the akita black bowl from table center and place it on the plate	on(chocolate_pudding_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 309.		1	5	20.0	1
ANLGX_092	S4_spatial_source_object_binding	Pick up the ramekin on the cookies box and place it on the plate.	libero_spatial	pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate	Pick the akita black bowl on the cookies box and place it on the plate	on(glazed_rim_porcelain_ramekin_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it. | Init gate: after settling, the substituted object must still satisfy its exact source support predicate; support-preserving rotation is allowed.		5	5	100.0	5
ANLGX_094	S4_spatial_source_object_binding	Pick up the ramekin in the top drawer of the wooden cabinet and place it on the plate.	libero_spatial	pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate	Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate	on(glazed_rim_porcelain_ramekin_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it. | Init gate: after settling, the substituted object must still satisfy its exact source support predicate; support-preserving rotation is allowed.		5	5	100.0	5
ANLGX_099	S4_spatial_source_object_binding	Pick up the ramekin next to the cookies box and place it on the plate.	libero_spatial	pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate	Pick the akita black bowl next to the cookies box and place it on the plate	on(glazed_rim_porcelain_ramekin_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it.		4	5	80.0	4
ANLGX_101	S4_spatial_source_object_binding	Pick up the butter next to the cookies box and place it on the plate.	libero_spatial	pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate	Pick the akita black bowl next to the cookies box and place it on the plate	on(butter_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 307.		2	5	40.0	2
ANLGX_102	S4_spatial_source_object_binding	Pick up the chocolate pudding next to the cookies box and place it on the plate.	libero_spatial	pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate	Pick the akita black bowl next to the cookies box and place it on the plate	on(chocolate_pudding_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 309.		1	5	20.0	1
ANLGX_103	S4_spatial_source_object_binding	Pick up the cookies box on the stove and place it on the plate.	libero_spatial	pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate	Pick the akita black bowl on the stove and place it on the plate	on(cookies_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it. | Init gate: after settling, the substituted object must still satisfy its exact source support predicate; support-preserving rotation is allowed.		1	5	20.0	1
ANLGX_104	S4_spatial_source_object_binding	Pick up the ramekin on the stove and place it on the plate.	libero_spatial	pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate	Pick the akita black bowl on the stove and place it on the plate	on(glazed_rim_porcelain_ramekin_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it. | Init gate: after settling, the substituted object must still satisfy its exact source support predicate; support-preserving rotation is allowed.		2	5	40.0	2
ANLGX_107	S4_spatial_source_object_binding	Pick up the chocolate pudding on the stove and place it on the plate.	libero_spatial	pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate	Pick the akita black bowl on the stove and place it on the plate	on(chocolate_pudding_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 309. | Init gate: after settling, the substituted object must still satisfy its exact source support predicate; support-preserving rotation is allowed.		2	5	40.0	2
ANLGX_109	S4_spatial_source_object_binding	Pick up the ramekin next to the plate and place it on the plate.	libero_spatial	pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate	Pick the akita black bowl next to the plate and place it on the plate	on(glazed_rim_porcelain_ramekin_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it.		4	5	80.0	4
ANLGX_114	S4_spatial_source_object_binding	Pick up the ramekin on top of the wooden cabinet and place it on the plate.	libero_spatial	pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate	Pick the akita black bowl on the wooden cabinet and place it on the plate	on(glazed_rim_porcelain_ramekin_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: this object appears in original Spatial scenes only as a distractor/support; no LIBERO-40 trajectory directly grasps it. | Init gate: after settling, the substituted object must still satisfy its exact source support predicate; support-preserving rotation is allowed.		5	5	100.0	5
ANLGX_117	S4_spatial_source_object_binding	Pick up the chocolate pudding on top of the wooden cabinet and place it on the plate.	libero_spatial	pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate	Pick the akita black bowl on the wooden cabinet and place it on the plate	on(chocolate_pudding_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct package grasp in original LIBERO-Object task 309. | Init gate: after settling, the substituted object must still satisfy its exact source support predicate; support-preserving rotation is allowed.		1	5	20.0	1
ANLGX_118	S5_spatial_sibling_drawer_action	Open the top drawer of the wooden cabinet.	libero_spatial	pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate	Pick the akita black bowl between the plate and the ramekin and place it on the plate	open(wooden_cabinet_1_top_region)			1	5	20.0	1
ANLGX_124	G1_goal_object_to_stove	Put the wine bottle on the stove.	libero_goal	put_the_bowl_on_the_stove	Put the bowl on the stove	on(wine_bottle_1, flat_stove_1_cook_region)	Relation evidence: original Goal task 8; the source manipuland pose is preserved. | Training evidence: direct wine-bottle grasp in original LIBERO-Goal tasks.		4	5	80.0	4
ANLGX_126	G1_goal_object_to_stove	Put the chocolate pudding on the stove.	libero_goal	put_the_bowl_on_the_stove	Put the bowl on the stove	on(chocolate_pudding_1, flat_stove_1_cook_region)	Relation evidence: original Goal task 8; the source manipuland pose is preserved. | Training evidence: direct package grasp in original LIBERO-Object task 309.		3	5	60.0	3
ANLGX_127	G1_goal_object_to_stove	Put the cream cheese on the stove.	libero_goal	put_the_bowl_on_the_stove	Put the bowl on the stove	on(cream_cheese_1, flat_stove_1_cook_region)	Relation evidence: original Goal task 8; the source manipuland pose is preserved. | Training evidence: direct cream-cheese grasp in original Goal and LIBERO-Object tasks.		3	5	60.0	3
ANLGX_129	G2_goal_object_to_rack	Put the black bowl on the wine rack.	libero_goal	put_the_wine_bottle_on_the_rack	Put the wine bottle on the rack	on(akita_black_bowl_1, wine_rack_1_top_region)	Relation evidence: original Goal task 2; the source manipuland pose is preserved. | Training evidence: direct black-bowl grasp in original Spatial and Goal tasks.		1	5	20.0	1
ANLGX_134	G3_goal_object_to_cabinet_top	Put the plate on the top of the wooden cabinet.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet	Put the wine bottle on the top of the drawer	on(plate_1, wooden_cabinet_1_top_side)	Relation evidence: original Goal task 5; the source manipuland pose is preserved. | Training evidence: the plate is directly manipulated by the original Goal push task, but not by pick-and-place.		1	5	20.0	1
ANLGX_135	G3_goal_object_to_cabinet_top	Put the cream cheese on the top of the wooden cabinet.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet	Put the wine bottle on the top of the drawer	on(cream_cheese_1, wooden_cabinet_1_top_side)	Relation evidence: original Goal task 5; the source manipuland pose is preserved. | Training evidence: direct cream-cheese grasp in original Goal and LIBERO-Object tasks.		2	5	40.0	2
ANLGX_136	G3_goal_object_to_cabinet_top	Put the butter on the top of the wooden cabinet.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet	Put the wine bottle on the top of the drawer	on(butter_1, wooden_cabinet_1_top_side)	Relation evidence: original Goal task 5; the source manipuland pose is preserved. | Training evidence: direct package grasp in original LIBERO-Object task 307.		4	5	80.0	4
ANLGX_137	G3_goal_object_to_cabinet_top	Put the chocolate pudding on the top of the wooden cabinet.	libero_goal	put_the_wine_bottle_on_top_of_the_cabinet	Put the wine bottle on the top of the drawer	on(chocolate_pudding_1, wooden_cabinet_1_top_side)	Relation evidence: original Goal task 5; the source manipuland pose is preserved. | Training evidence: direct package grasp in original LIBERO-Object task 309.		2	5	40.0	2
ANLGX_138	G4_goal_object_to_bowl	Put the butter on the black bowl.	libero_goal	put_the_cream_cheese_in_the_bowl	Put the cream cheese on the bowl	on(butter_1, akita_black_bowl_1)	Relation evidence: original Goal task 4; the source manipuland pose is preserved. | Training evidence: direct package grasp in original LIBERO-Object task 307.		5	5	100.0	5
ANLGX_139	G4_goal_object_to_bowl	Put the chocolate pudding on the black bowl.	libero_goal	put_the_cream_cheese_in_the_bowl	Put the cream cheese on the bowl	on(chocolate_pudding_1, akita_black_bowl_1)	Relation evidence: original Goal task 4; the source manipuland pose is preserved. | Training evidence: direct package grasp in original LIBERO-Object task 309.		5	5	100.0	5
ANLGX_140	G5_goal_object_to_plate	Put the wine bottle on the plate.	libero_goal	put_the_bowl_on_the_plate	Put the bowl on the plate	on(wine_bottle_1, plate_1)	Relation evidence: original Goal task 1; the source manipuland pose is preserved. | Training evidence: direct wine-bottle grasp in original LIBERO-Goal tasks.		2	5	40.0	2
ANLGX_141	G5_goal_object_to_plate	Put the cream cheese on the plate.	libero_goal	put_the_bowl_on_the_plate	Put the bowl on the plate	on(cream_cheese_1, plate_1)	Relation evidence: original Goal task 1; the source manipuland pose is preserved. | Training evidence: direct cream-cheese grasp in original Goal and LIBERO-Object tasks.		1	5	20.0	1
ANLGX_143	G5_goal_object_to_plate	Put the chocolate pudding on the plate.	libero_goal	put_the_bowl_on_the_plate	Put the bowl on the plate	on(chocolate_pudding_1, plate_1)	Relation evidence: original Goal task 1; the source manipuland pose is preserved. | Training evidence: direct package grasp in original LIBERO-Object task 309.		2	5	40.0	2
ANLGX_147	G6_goal_object_to_sibling_drawer	Put the cream cheese in the top drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(cream_cheese_1, wooden_cabinet_1_top_region)	Training evidence: direct cream-cheese grasp in original Goal and LIBERO-Object tasks.		3	5	60.0	3
ANLGX_148	G6_goal_object_to_sibling_drawer	Put the cream cheese in the middle drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(cream_cheese_1, wooden_cabinet_1_middle_region)	Training evidence: direct cream-cheese grasp in original Goal and LIBERO-Object tasks.		2	5	40.0	2
ANLGX_149	G6_goal_object_to_sibling_drawer	Put the cream cheese in the bottom drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(cream_cheese_1, wooden_cabinet_1_bottom_region)	Training evidence: direct cream-cheese grasp in original Goal and LIBERO-Object tasks.		4	5	80.0	4
ANLGX_150	G6_goal_object_to_sibling_drawer	Put the butter in the top drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(butter_1, wooden_cabinet_1_top_region)	Training evidence: direct package grasp in original LIBERO-Object task 307.		2	5	40.0	2
ANLGX_151	G6_goal_object_to_sibling_drawer	Put the butter in the middle drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(butter_1, wooden_cabinet_1_middle_region)	Training evidence: direct package grasp in original LIBERO-Object task 307.		2	5	40.0	2
ANLGX_152	G6_goal_object_to_sibling_drawer	Put the butter in the bottom drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(butter_1, wooden_cabinet_1_bottom_region)	Training evidence: direct package grasp in original LIBERO-Object task 307.		3	5	60.0	3
ANLGX_153	G6_goal_object_to_sibling_drawer	Put the chocolate pudding in the top drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(chocolate_pudding_1, wooden_cabinet_1_top_region)	Training evidence: direct package grasp in original LIBERO-Object task 309.		2	5	40.0	2
ANLGX_154	G6_goal_object_to_sibling_drawer	Put the chocolate pudding in the middle drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(chocolate_pudding_1, wooden_cabinet_1_middle_region)	Training evidence: direct package grasp in original LIBERO-Object task 309.		1	5	20.0	1
ANLGX_155	G6_goal_object_to_sibling_drawer	Put the chocolate pudding in the bottom drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(chocolate_pudding_1, wooden_cabinet_1_bottom_region)	Training evidence: direct package grasp in original LIBERO-Object task 309.		3	5	60.0	3
ANLGX_157	G8_goal_object_to_forward_stove	Put the wine bottle on the forward-relocated stove.	libero_goal	put_the_bowl_on_the_stove	Put the bowl on the stove	on(wine_bottle_1, flat_stove_1_cook_region)	Training evidence: direct wine-bottle grasp in original LIBERO-Goal tasks.		1	5	20.0	1
ANLGX_159	G8_goal_object_to_forward_stove	Put the chocolate pudding on the forward-relocated stove.	libero_goal	put_the_bowl_on_the_stove	Put the bowl on the stove	on(chocolate_pudding_1, flat_stove_1_cook_region)	Training evidence: direct package grasp in original LIBERO-Object task 309.		2	5	40.0	2
ANLGX_169	G10_goal_sibling_drawer_close	Close the top drawer of the wooden cabinet.	libero_goal	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	close(wooden_cabinet_1_top_region)			3	5	60.0	3
ANLGX_170	G10_goal_sibling_drawer_close	Close the middle drawer of the wooden cabinet.	libero_goal	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	close(wooden_cabinet_1_middle_region)			5	5	100.0	5
ANLGX_171	G10_goal_sibling_drawer_close	Close the bottom drawer of the wooden cabinet.	libero_goal	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	close(wooden_cabinet_1_bottom_region)			1	5	20.0	1
ANLGX_174	L1_libero10_white_cabinet_object_slot	Put the wine bottle in the bottom drawer of the white cabinet.	libero_10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(wine_bottle_1, white_cabinet_1_bottom_region)	Training evidence: direct wine-bottle grasp in original LIBERO-Goal tasks.		1	5	20.0	1
ANLGX_175	L2_libero10_white_cabinet_atomic_close	Close the bottom drawer of the white cabinet.	libero_10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_bottom_region)			2	5	40.0	2
